method_id,canonical_name,campaign,branch_ref,claim_layer,method_family,implementation_status,scientific_outcome,mechanical_verdict,primary_metric_value,power,licence_earned,contamination_leakage,supersession_relations,record_confidence,_scope
CE-F-external-anchor-reaudit,Stage F external-anchor re-audit (Salgarella non-circular check),linear_a_constraint_expansion,research/linear-a-constraint-expansion,L5-L6 (lexical/phonetic value via external anchor),external-anchor independence/circularity audit (Art. XII); leave-one-anchor-out framing,RUN_EXPLORATORY,NO_POWER,"NO_NONCIRCULAR_ANCHOR — Salgarella's A-B scheme is the shape/homomorphy channel (LB values projected backward, <=0.75 circularity cap, she flags it herself p.34/p.374 n.2, no held-out value test); her lexical IDs are the SAME toponyms/anthroponyms already REFUTEd; no class yields >=3 independent held-out non-circular anchors surviving LOTO",0 anchor classes with >=3 independent held-out non-circular anchors; existing pins one-toponym-deep; Salgarella circularity cap <=0.75,no non-circular anchor set exists to power a value test -> NO_POWER for the value lever,none (SEMANTIC/LEXICAL/PHONETIC transfer NOT_EARNED),core finding: Salgarella channel is circular (LB values already in the transliteration); would leak if treated as independent,Un-blocks and closes the standing 'Salgarella 2020 absent/paywalled' item as circular; consistent with prior REFUTE_LOTO_FRAGILE,"REPORT_ONLY (circularity cap 0.75, one-deep pins, page cites in EF report md; DOIs referenced but one-shots not re-run; underlying REFUTE artifacts in prior tree)",constraint_expansion
CE-G-language-family-gate,Stage G language-family hypothesis authorization gate,linear_a_constraint_expansion,research/linear-a-constraint-expansion,L8 (language-id),constitutional authorization gate (Art. V/XV licence check),POWER_GATED_BEFORE_RUN,NOT_APPLICABLE,G_NOT_AUTHORIZED — no value anchor exists to constrain a language-family hypothesis; a family test is not authorized,NOT_APPLICABLE (gate = NOT_AUTHORIZED),NOT_APPLICABLE (gated before run),none (LANGUAGE_ID NOT_EARNED),gate prevents unbounded language search on a value-blind corpus,Consistent with all prior campaigns (no family authorized),VERIFIED_FROM_ARTIFACT (verdict recorded in CAMPAIGN.md + Stage L table),constraint_expansion
CE-H-relabeling-invariance-null,Stage H agnostic internal value-search relabeling-invariance null,linear_a_constraint_expansion,research/linear-a-constraint-expansion,L6 (phonetic value) — proving internal null,invariance proof (relabeling-invariance of held-out likelihood) + empirical confirmation,RUN_CONFIRMATORY,NULL,"PROVABLE_NULL — held-out bigram log-likelihood is IDENTICAL (-4.172251) across all 30 random sign-value bijections (range <1e-9); a sign-value assignment is a relabeling, and internal structure is relabeling-invariant, so no agnostic internal search can rank value maps","held-out bigram LL = -4.172251 identical across 30 maps (min=max, range<1e-9)","PROVABLE (analytic invariance, empirically confirmed)",none (proves the internal value channel is unearnable),none (proof from structure),Builds on D2; underpins the campaign's headline 'internal evidence value-blind'; supersedes prior 'more inscriptions would help' framing for the value layer,"VERIFIED_FROM_ARTIFACT (LL -4.172251 identical across 30 maps, 1369 seqs, 156 signs in data/stage_hj_null.json)",constraint_expansion
CE-J-end-to-end-null,Stage J end-to-end decipherment null (gate-bounded),linear_a_constraint_expansion,research/linear-a-constraint-expansion,L6-L9 (full reading),end-to-end null / graduation-gate calibration,RUN_CONFIRMATORY,NULL,No agnostic system beats the end-to-end null: only ranker left is external-anchor fit (Stage F: none independent/held-out); internal channel held-out value hits 0.0000 (4 confirmations); gate false-graduates best-of-100 random maps at 3/500=0.6% (CP 95% upper 1.54%) -> apparent systems are one-toponym-deep noise,gate FP 3/500=0.6% (CP upper 1.54%); internal held-out value hits 0.0000 (4x),gate calibrated; internal channel provably null (from Stage H),none,gate bounds any apparent system as noise; anchors one-toponym-deep,Consistent with two frozen preregistered REFUTEs; end-state of the value search,"VERIFIED_FROM_ARTIFACT (gate 3/500=0.6%, 0.0000 hits in data/stage_hj_null.json; underlying gate-calibration artifact cross-referenced from prior tree)",constraint_expansion
CE-I-sealed-challenges,Stage I sealed-challenge preregistration (no surviving hypothesis),linear_a_constraint_expansion,research/linear-a-constraint-expansion,L5-L6 (would-be sealed reading),sealed held-out challenge (not instantiated),PROPOSED_ONLY,NOT_APPLICABLE,n/a — no surviving hypothesis to seal (Stages E/F/H/J left the value layer empty),NOT_APPLICABLE,NOT_APPLICABLE,none,NOT_APPLICABLE,NOT_APPLICABLE,VERIFIED_FROM_ARTIFACT (CAMPAIGN.md marks Stage I n/a),constraint_expansion
CE-K-active-unlock-ranking,Stage K active-unlock ranking (what evidence would actually help),linear_a_constraint_expansion,research/linear-a-constraint-expansion,meta (acquisition planning),value-of-information / unlock ranking,RUN_EXPLORATORY,NULL,"Only external value-bearing evidence helps: UNLOCK_01 bilingual/biscriptal (decisive, none exists); UNLOCK_02 >=3 independent >=4-slot external anchors surviving LOTO (high, none exists); UNLOCK_03 securely-read related script (high, none exists). NON-unlocks: more LA inscriptions / better internal models / allograph refinement (~0 value info — value-blind)",3 ranked unlocks (bilingual > >=3 held-out anchors > related read script); 3 explicit non-unlocks with ~0 value-information,NOT_APPLICABLE,none,NOT_APPLICABLE,FALSIFIES the prior synthesis item 'more multi-sign inscriptions would help' for the value layer,VERIFIED_FROM_ARTIFACT (unlock table + non-unlocks in KL report md; grounded on verified stage_hj_null.json invariance),constraint_expansion
CE-L-final-verdict-synthesis,Stage L final verdict synthesis (by earned layer),linear_a_constraint_expansion,research/linear-a-constraint-expansion,meta (synthesis across L0-L9),claim-layer synthesis / mechanical verdict,RUN_CONFIRMATORY,UNDERDETERMINED,"campaign_status=COMPLETE; decipherment_readiness=NEW_CONSTRAINTS_BUT_NO_DECIPHERMENT; underlying_identifiability=UNDERDETERMINED_UNDER_EXPANDED_EVIDENCE; highest_earned_layer=L2 (document structure, held-out but re-derives known epigraphy); strongest_surviving_hypothesis=none at L5/L6; all LA transfer licences NOT_EARNED",highest earned layer = L2; L6 value = NONE; L8 family = NONE; licences all NOT_EARNED,NOT_APPLICABLE,none (all LA transfer licences NOT_EARNED),append-only (Art. XVII); no failed result relabelled as success,"Campaign headline ('259 params corrected to 92, count-favourable' + 'internal evidence value-blind') SUPERSEDES the earlier 12h-campaign '259>212' arithmetic; NOTE per orchestrator: this campaign's own summary framing was subsequently flagged as SUPERSEDED in downstream memory — treat 92-syllabary + value-blindness as the load-bearing surviving results, not the prose headline",VERIFIED_FROM_ARTIFACT (verdict block in CAMPAIGN.md + KL report + INFORMATION_BUDGET.json all consistent),constraint_expansion
DIMINO-T00-CENSUS,Prior-test census: has the exact *301=/na/ core gate ever been run?,Di Mino *301=/na/ exact adversarial audit,research/di-mino-301-exact-audit,L0,meta-audit / prior-work census,RUN_EXPLORATORY,NOT_APPLICABLE,EXACT_CORE_CLAIM_GATE (H1-H6) DOES NOT EXIST (unrun); QUALITATIVE_LITERATURE_AUDIT EXISTS; H7-H12 artifacts publicly withheld -> expected SOURCE_BLOCKED,,NOT_APPLICABLE,none,notes the claim is L_known / litindex-quarantined (barred from counting as discovery),does not supersede the qualitative audit (docs/linear-a-claims-2026.md); reproduces/cites it,HIGH — VERIFIED_FROM_ARTIFACT (report 00 + TASK_LEDGER),di_mino
DIMINO-T01-ARCHIVE,Immutable public-claim archive + cryptographic hashing of the Di Mino claim,Di Mino *301=/na/ exact adversarial audit,research/di-mino-301-exact-audit,L0,source acquisition + provenance/hashing,RUN_EXPLORATORY,NOT_APPLICABLE,"CLB-01 (AI Clambake article, 2026-06-16) + Figure 1 archived & hashed; 40-sign table / 408-lexicon / Ya Diktu manuscript / 5 LB corrections / logogram analysis / ~100k-sim code = all SOURCE_BLOCKED",,NOT_APPLICABLE,none,NOT_APPLICABLE,feeds families F/G/H SOURCE_BLOCKED verdicts,HIGH — VERIFIED_FROM_ARTIFACT (manifest hashes verified),di_mino
DIMINO-T02-CLAIMGRAPH,Claim dependency graph + free-parameter (lower-bound search) receipt,Di Mino *301=/na/ exact adversarial audit,research/di-mino-301-exact-audit,L1,structural / provenance / multiplicity accounting,RUN_PREREGISTERED,CIRCULAR,"Load-bearing circularity e2->e3->e4: *301 value chosen so na-wa-ya yields n-w-y, then n-w-y offered as evidence for the value. 5/6 signs are conventional LB transfer (score 0); entire novel content = single unanchored parameter *301=/na/",,NOT_APPLICABLE,none,e9 'Linear A is Semitic' from one word = forbidden language-ID; flagged,grounds families A/B/C break design,HIGH — VERIFIED_FROM_ARTIFACT,di_mino
DIMINO-T03-PREREG,Frozen preregistration of H1-H12 with success/null/failure thresholds,Di Mino *301=/na/ exact adversarial audit,research/di-mino-301-exact-audit,L0,preregistration / experimental design,DESIGNED_NOT_RUN,NOT_APPLICABLE,"Frozen 2026-07-08 before any outcome observed; content-hashed sha 8b098a4c; primary statistic S_morph; deflation E[max_Neff]; gate GRADUATE iff DSR>=0.95 AND k<=U_floor; thresholds FROZEN, no post-hoc adjustment",,min ~3 independent held-out forms for power,none (design),"litindex quarantine (claim is L_known, barred from counting as discovery); IOZa6 held-out anchor sits on derivation site Iouktas -> leave-form-out only",governs all family verdicts A-H,HIGH — VERIFIED_FROM_ARTIFACT (hash matches manifest),di_mino
DIMINO-T04-CORPUS,Non-circular libation-formula / *301 corpus build with derivation/held-out partition,Di Mino *301=/na/ exact adversarial audit,research/di-mino-301-exact-audit,L2,corpus assembly / partition design,RUN_PREREGISTERED,NOT_APPLICABLE,"36 *301 attestations / 23 distinct forms / 31 LF carriers; partition 4 derivation / 32 held-out (26 leave-site-out eligible, 11 held-out invocation-slot); IOZa6 contamination flagged not resolved",,held_out 32; leave-site-out eligible 26; invocation-slot leave-site-out eligible 11,none,"IOZa6 (prereg-named held-out anchor) sits on derivation site Iouktas -> integrity flag, restricted to leave-form-out",feeds families A/C/D/E,HIGH — VERIFIED_FROM_ARTIFACT (corpus.json counts),di_mino
DIMINO-T05-SEGMENTATION,Segmentation comparison of A-TA-I-*301-WA-JA across 6 families (branching-entropy / Viterbi-MDL / distributional recurrence),Di Mino *301=/na/ exact adversarial audit,research/di-mino-301-exact-audit,L2,unsupervised segmentation / boundary analysis,RUN_PREREGISTERED,STRUCTURAL_ONLY,DECISIVE AGAINST the *301-WA-JA root cut: no value-free family isolates it as a unit; boundary b3 (before *301) fwd branching-entropy 0.00 (A-TA-I is always followed by *301 = most anti-boundary position); Viterbi/MDL keeps the word whole (cost 5.8845 nats); root boundary is phonetically motivated -> corroborates e2->e3->e4 circularity,,NOT_APPLICABLE,STRUCTURAL only (value-free); no phonetic licence,NOT_APPLICABLE,corroborates T02 circularity; feeds MORPH_ROOT refutation in family C,HIGH — VERIFIED_FROM_ARTIFACT (segmentation_target.json),di_mino
DIMINO-A-VALUE-SWEEP,Family A — exhaustive *301 value audit (H1: *301=/na/),Di Mino *301=/na/ exact adversarial audit,research/di-mino-301-exact-audit,L6,exhaustive sign-value sweep + permutation null + multiplicity deflation,RUN_CONFIRMATORY,REFUTED,"REJECT. Primary S_morph value-INVARIANT (identical 0.2738 under any relabelling) = NO_DISCRIMINATIVE_POWER_FOR_VALUE (not itself a rejection). On S_lex /na/ ranks 21/65 (20 strictly better, 30 tied; 49th percentile of Packard null; deflated 0.0); leave-target-out rank 21; leave-site/form-out never rank 1 (range 6-26). #1 only on weakest S_phono by negligible 0.095-nat margin. Fails E[max_Neff] over 260 logged cells AND author 10^5",,ADEQUATE — 32 held-out forms; S_morph z=6.95 has_power true,none (H1 phonetic value not earned),non-circular: known LB values grade benchmark only; independent red flag (report E): /na/ already written 158x by standard NA sign (AB06),corroborated by segmentation T05 and morphology C; core of DI_MINO_CORE_VERDICT,HIGH — VERIFIED_FROM_ARTIFACT (301_value_sweep.json),di_mino
DIMINO-B-ROOT-SEARCH-NULL,Family B — Semitic root existence search-null (H2: A-TA-I-*301-WA-JA contains N-W-Y),Di Mino *301=/na/ exact adversarial audit,research/di-mino-301-exact-audit,L5,root-search null / density-of-hits multiplicity test,RUN_CONFIRMATORY,NULL_PUBLISHED,"REJECT — root existence is a generic search outcome: 31% (strict n-w-y) to 77% (weak+hollow collapse) of admissible *301 C1 onsets hit a real Semitic root; under weak collapse only onset n reaches a dwell-tier gloss, and only via a III-y->III-h transform + selecting Hebrew/Aramaic over yod-matching Arabic/Ugaritic",,ADEQUATE (enumerable onset space),none (H2 lexical not earned),non-circular; language cherry-pick charged,pairs with B-Lfake channel and B-gloss (H3); feeds end-to-end null NULL_PUBLISHED,HIGH — VERIFIED_FROM_ARTIFACT (root_search.json),di_mino
DIMINO-B-LFAKE-CANARY,Family B — L_fake / Packard edit-distance 'match-exists' channel canary (S_lex power test),Di Mino *301=/na/ exact adversarial audit,research/di-mino-301-exact-audit,L5,canary / null-floor calibration (NED edit-distance channel),RUN_CONFIRMATORY,NO_POWER,"NO_POWER — the L_fake INVENTED lexicon already contains a near-match to n-w-y ~100% of the time (floor mean 1.0); Packard-permuted (destroyed-correspondence) control ~0.98; so the 'match-exists' channel reads search-attractiveness, not cognacy. Root existence rests on the BDB-cited table, NOT this statistic",,ZERO (floor >= real),none,NOT_APPLICABLE,supports B-root-search-null; edit-distance NO_POWER cited in end-to-end null,HIGH — VERIFIED_FROM_ARTIFACT,di_mino
DIMINO-B-GLOSS-FEATURE,Family B — gloss specificity + formula-feature prediction (H3: gloss 'dwell'),Di Mino *301=/na/ exact adversarial audit,research/di-mino-301-exact-audit,L4,semantic-specificity tiering + feature-fit scoring,RUN_CONFIRMATORY,REFUTED,"REJECT — 'dwell' scores 0.0/3 on observable formula features (F1 precedes theonym-recipient, F2 dedicatory libation context, F3 transitive object slot), at/below the neutral placeholder (0) and below give/dedicate (3.0), invoke (2.5), and even random-gloss expected 1.8; 'dwell' is inexact under frozen rules (final yod vs Hebrew final he) and language-cherry-picked",,limited (single target word),none (H3 semantic not earned),III-y->III-h correspondence charged to the receipt (unregistered),with B-root and B-Lfake completes H2/H3 = NULL_PUBLISHED in end-to-end null,HIGH — VERIFIED_FROM_ARTIFACT,di_mino
DIMINO-C-MORPHOLOGY,Family C — exact morphology / paradigm audit + head-to-head + known-script controls (H5),Di Mino *301=/na/ exact adversarial audit,research/di-mino-301-exact-audit,L7,morphological productivity + leave-target-out paradigm prediction + known-script controls,RUN_CONFIRMATORY,REFUTED,"REJECT. MORPH_ROOT REFUTED (sign after *301 varies WA/U/TI/DE; *301-WA-JA recurs only in target copies +A-NA-TI-*301-WA-JA; 0 held-out recurrence). PARADIGM REJECT (target-template predicts its own invariant root in 1/6 held-out). Head-to-head: Davis I-*301 0.833 (best) beats Di Mino root 0.167 (worst); Thomas -JA/-E 0.50. SEMITIC_MORPHOLOGY NOT_SUPPORTED. MORPH_A/MORPH_TA survive only at L3 as generic onset/affix presence, favouring Davis",,MORPH detector has power on controls (z 11-36); LA_invocation NO_POWER (m=1),L3 structural only (generic onset/affix); no L7 grammatical licence,"non-circular (leave-target-out, sign-level); Semitic morphology detector cannot distinguish Semitic from agglutinative from edge affixes",corroborates A + segmentation; MORPH_ROOT refutation aligns with T05,HIGH — VERIFIED_FROM_ARTIFACT (morphology.json),di_mino
DIMINO-D-LOSO,Family D — leave-one-site-out formula prediction (H4 function / H6 regional paradigm),Di Mino *301=/na/ exact adversarial audit,research/di-mino-301-exact-audit,L3,leave-one-site-out cross-validation / predictive comparison,RUN_CONFIRMATORY,NO_POWER,"NO_POWER — Di Mino's exact-form prediction is IDENTICAL to the frequency/template/structural/Davis baseline at every held-out site (no regional-variation generator); effective independent discriminating sites = 3, at/below the NO_POWER floor (3); every clean divergent form is a unique single-source singleton unpredictable by any leave-one-out model. Also H2 root recurs 0/3 on clean divergent held-out sites (REFUTED)",,INSUFFICIENT — 3 effective discriminating sites at NO_POWER floor,"none from D (H4 functional support comes from E structural, not D)",Iouktas is a derivation site (root recurrence there is contamination-flagged),H2 held-out recurrence 0/3 corroborates family B/C REJECT,HIGH — VERIFIED_FROM_ARTIFACT (loso.json),di_mino
DIMINO-E-FULLFORMULA,Family E — full libation-formula interpretation audit (novel-parameter accounting + homophony + word-order),Di Mino *301=/na/ exact adversarial audit,research/di-mino-301-exact-audit,L4,discovery-firewall accounting + homophony diagnostic + fixed-template baseline,RUN_CONFIRMATORY,STRUCTURAL_ONLY,"REJECT (one-novel-parameter): 34/35 signs of the line are conventional LB transliteration (literature_match, score 0); exactly one novel parameter *301=/na/. Only word 1 has a published morpheme table; words 2-8 SOURCE_BLOCKED. Homophony red flag: /na/ already written 158x by standard NA (AB06), incl. same IOZa2 line. Word order recovered by neutral FIXED_TEMPLATE (order_consistency 1.0, 12/12) with zero phonetic input",,NOT_APPLICABLE,L3 structural (invocation-verb slot is a value-free structural marker); no phonetic/lexical licence,homophony argument is independent structural evidence AGAINST *301=/na/,supplies the homophony flag cited in the final verdict; H4 PARTIAL_SUPPORT at L3,HIGH — VERIFIED_FROM_ARTIFACT (formula_claim_matrix.json),di_mino
DIMINO-PC-CONTROLS,Positive/negative controls PC1-PC6 + PCNP (pipeline calibration),Di Mino *301=/na/ exact adversarial audit,research/di-mino-301-exact-audit,L0,positive/negative control battery (calibration),RUN_CONFIRMATORY,SUPPORTED,"PASS — pipeline CALIBRATED. PC1 Ugaritic->Hebrew recovered (0.780 vs L_fake floor 0.357); PC2 opaque LB->Greek Ventris recovered (0.923 vs permuted p95 0.385, 2.7x); PC3 planted *301-style value recovered rank 1/113 (margin 0.963); PC4 manufactured-fake Semitic REJECTED; PC5 agglutinative fires (z 28.79); PC6 Semitic-prefix fires (z 14.41); PCNP degraded returns NO_POWER (m=2<3)",,confirmed on controls; degraded case correctly returns NO_POWER,NOT_APPLICABLE (calibration),NOT_APPLICABLE (controls),makes families A/B and end-to-end null interpretable as genuine negatives,HIGH — VERIFIED_FROM_ARTIFACT (positive_controls.json),di_mino
DIMINO-E2E-NULL,End-to-end adaptive null programme + whole-pipeline false-positive rate,Di Mino *301=/na/ exact adversarial audit,research/di-mino-301-exact-audit,L5,end-to-end adaptive null / search-adjusted significance,RUN_CONFIRMATORY,NULL_PUBLISHED,"End-to-end FP rate = 1.0; search-adjusted p ~ 1.0. Best-of-search manufactures a coherent real-root exact-tier reading on essentially every null run (per-random-value root existence 0.769). Even with 'dwell' pre-committed, a dwell-tier hit is CERTAIN over the 7,800 logged root/gloss cells (1.0). 10/13 admissible onsets already yield a real Semitic weak/hollow root with a citable gloss. Lexical/gloss legs (H2/H3) = NULL_PUBLISHED; edit-distance channel NO_POWER; S_morph NO_DISCRIMINATIVE_POWER; because PC passed, this is a genuine negative",,value channel HAS power (PC3 rank 1/113); na fails rank-1 clause; H2 held-out recurrence fails; H3 beats-features fails,none,the observed chain sits INSIDE the null band on lexical/gloss legs,closes the gate -> DI_MINO_CORE_VERDICT = REJECT,HIGH — VERIFIED_FROM_ARTIFACT (end_to_end_null.json),di_mino
DIMINO-F-SIGNMAP,Family F — 40-sign map gate (H7 ~40 signs / H8 13 LA-only signs / H10 5 LB signs),Di Mino *301=/na/ exact adversarial audit,research/di-mino-301-exact-audit,L6,extended-claim gate (blocked on source availability),SOURCE_BLOCKED,NOT_APPLICABLE,FULL_SIGN_MAP_VERDICT = SOURCE_BLOCKED — the exact 40-sign table is not publicly obtainable (only Figure 1's 6-sign line-1 table exists). Not a refutation; not collapsed into H1-H6. *301=/na/ adjudicated separately in family A,,NOT_APPLICABLE,none,NOT_APPLICABLE,kept separate from core verdict per prereg,HIGH — VERIFIED_FROM_ARTIFACT,di_mino
DIMINO-G-LEXICON,Family G — 408-term lexicon gate (H9),Di Mino *301=/na/ exact adversarial audit,research/di-mino-301-exact-audit,L5,extended-claim lexicon gate (blocked on source availability),SOURCE_BLOCKED,NOT_APPLICABLE,"FULL_LEXICON_VERDICT = SOURCE_BLOCKED — the 408-entry lexicon is a count only; no table published (Ya Diktu draft unpublished). Not a refutation; not collapsed into core. Context note: a 408-item gloss list on a small corpus without committed held-out prediction is the 'English is a Semitic language' multiple-testing failure mode, but absent the list it cannot be scored",,NOT_APPLICABLE,none,NOT_APPLICABLE,kept separate from core verdict,HIGH — VERIFIED_FROM_ARTIFACT,di_mino
DIMINO-H-LB-CORRECTIONS,Family H — Linear B corrections gate (H10: 5 LB signs resolved),Di Mino *301=/na/ exact adversarial audit,research/di-mino-301-exact-audit,L6,extended-claim correction gate (blocked on source availability),SOURCE_BLOCKED,NOT_APPLICABLE,"LINEAR_B_CORRECTIONS_VERDICT = SOURCE_BLOCKED — '5 Linear B signs resolved' is a count; no list of signs, statuses, proposed values, or derivation evidence published. Not a refutation; not collapsed. Art. XII guard noted: a proposed LB correction may not validate the same LA analysis it was derived from",,NOT_APPLICABLE,none,Art. XII guard flagged (no grading a target by the rule that created it),kept separate from core verdict,HIGH — VERIFIED_FROM_ARTIFACT,di_mino
DIMINO-H-LOGOGRAM-CORRECTIONS,Family H — logogram corrections gate (H11),Di Mino *301=/na/ exact adversarial audit,research/di-mino-301-exact-audit,L2,extended-claim logogram gate (blocked on source availability),SOURCE_BLOCKED,NOT_APPLICABLE,LOGOGRAM_CORRECTIONS_VERDICT = SOURCE_BLOCKED — CLB-01 does not enumerate a logogram analysis or the problems it claims to resolve; no table on github/minoanmystery. Nothing to gate. Not a refutation; not collapsed,,NOT_APPLICABLE,none,NOT_APPLICABLE,kept separate from core verdict,HIGH — VERIFIED_FROM_ARTIFACT,di_mino
DIMINO-VERDICT,Final mechanical adjudication — DI_MINO_CORE_VERDICT + extended verdicts,Di Mino *301=/na/ exact adversarial audit,research/di-mino-301-exact-audit,L3,mechanical verdict composition (frozen rule),RUN_CONFIRMATORY,REFUTED,"DI_MINO_CORE_VERDICT = REJECT. Chain *301=/na/->N-W-Y->'dwell'->Semitic fails >=3 load-bearing clauses (value rank-1, H2 held-out recurrence 0/3, H3 beats-features 0/3) on a PC-calibrated pipeline; end-to-end FP=1.0. H1 REJECT; H2 REJECT; H3 REJECT; H4 PARTIAL_SUPPORT (L3 functional = mainstream Davis/Thomas, not Di Mino's novelty); H5 REJECT; H6 NO_POWER; H7-H12 SOURCE_BLOCKED. Scope: rejects the CHAIN, not the structural i-*301 core or etymology-in-principle; III-y->III-h transform charged; no impossibility claimed. Highest earned layer L3 functional; no transfer licence",,ADEQUATE (PC passed -> genuine negative),L3 functional/structural only (value-free i-*301 residue = mainstream reading); no phonetic/lexical/semantic/language-ID layer; no transfer licence,append-only (Art. XVII); paper + prior history untouched; qualitative audit reproduced/cited not altered; no LLM graded,this IS the exact mechanical adjudication the paper named as missing; does not supersede/alter the qualitative audit or the frozen paper,HIGH — VERIFIED_FROM_ARTIFACT,di_mino
DIMINO-PRIOR-QUALITATIVE-AUDIT,"PRIOR qualitative literature audit of the Di Mino claim (separate instance, not this campaign)","Prior qualitative audit (pre-existing; referenced, not run here)","main (parent), referenced from research/di-mino-301-exact-audit",L5,qualitative literature / primary-source critique (NOT a mechanical LOGOS verdict),SUPERSEDED,NO_VERDICT_RECORDED,NOT_APPLICABLE — explicitly flagged in the paper as NOT a mechanical LOGOS verdict; a literature-and-primary-source argument + litindex decontamination quarantine,,NOT_APPLICABLE,none,indexed in litindex for decontamination (claim is L_known),SUPERSEDED/complemented by the DIMINO-VERDICT mechanical adjudication (which reproduces/cites but does not alter it),MEDIUM — REPORT_ONLY (referenced via census/DECISION_LOG; file not in this worktree's experiment dir),di_mino
EGY-01,Egyptian non-Cretan correspondence corpus source-status + buildability audit (§III/§IV) → first mechanical INCOMPLETE verdict,Egyptian external-anchor calibration gate — design/source phase,research/egyptian-calibration-gate,L0,source-availability / data-provenance audit feeding a mechanical status verdict,SOURCE_BLOCKED,INCOMPLETE,"verdict.py: status=INCOMPLETE, egyptian_channel_readiness=NOT_READY (load-bearing calibration corpus unbuildable; explicitly NOT a disguised NO_POWER)","buildable=False; 0 admissible records — VERIFIED_FROM_ARTIFACT (build_corpus()→[], 8 tests pass per DECISION_LOG E2..E3)",unassessable (no fittable-but-weak corpus exists) — explicitly distinguished from NO_POWER,NONE,Cretan/Keftiu/Linear-A excluded by construction,"SUPERSEDED by EGY-04 (Hoch OCR extraction, still blocked) then EGY-05 (vision-read corpus, blocker LIFTED)",HIGH,egyptian
EGY-02,"Calibration schema + inclusion rules + M0–M9 correspondence-model prereg spec freeze (§IV/§V, data-blind)",Egyptian external-anchor calibration gate — design freeze,research/egyptian-calibration-gate,L0,pre-registration / design freeze (modeling plan),DESIGNED_NOT_RUN,NOT_APPLICABLE,status=SPEC_FROZEN_AWAITING_CORPUS (sha 3c56ed71),NOT_APPLICABLE (spec only) — sha VERIFIED_FROM_ARTIFACT (data/manifests/egyptian_model_freeze.sha256),NOT_APPLICABLE,NONE,spec pre-dates corpus (no leakage from validation results into design),feeds EGY-06 (M2 fit). NOTE the operative estimator diverged from this aspirational M0–M9 doc (prereg §inputs flags the design spec as 'aspirational … NOT the operative estimator'),HIGH,egyptian
EGY-03,Hoch-1994 OCR auto-extraction of the calibration corpus (extract_hoch.py),Egyptian external-anchor calibration gate — corpus-build attempt (OCR route),research/egyptian-calibration-gate,L0,OCR text-extraction / dictionary parsing,PARTIALLY_IMPLEMENTED,INCOMPLETE,verdict UNCHANGED: INCOMPLETE / NOT_READY (auto-derived corpus noise-limited below threshold; forbidden to clean via circular similarity heuristic),"101 entries / 76 tier-A / 25 tier-C — REPORT_ONLY (extractor+counts committed, data gitignored)",NOT_APPLICABLE (corpus below standard),NONE,similarity-based pairing FORBIDDEN (would bias the very correspondence probabilities = circular fishing-rod the gate exists to prevent),SUPERSEDED by EGY-04 (vision-read of page images bypasses OCR),HIGH,egyptian
EGY-04,Vision-reading of Hoch 1994 page images → hand-verified calibration corpus (REQ-02 blocker LIFTED),Egyptian external-anchor calibration gate — corpus build (vision route),research/egyptian-calibration-gate,L0,vision transcription / hand-verification of a print source,REPRODUCED,SUPPORTED,gate status: INCOMPLETE(no corpus) → CORPUS DERIVED / READY-TO-FIT; sha256 cc2c20d8 frozen,159 records; 152 tier-A/B; 156 roots; item classes LOANWORD 130 / PERSONAL_NAME 23 / DIVINE_NAME 3 / TOPONYM 1 / ETHNONYM 1 / OTHER 1 — VERIFIED_FROM_ARTIFACT (manifest + report),adequate to fit (≥150 tier-A/B threshold met),"NONE (a calibration corpus, not a transfer licence)",Cretan material excluded by construction (Hoch is Semitic); zero leakage,LIFTS the EGY-01/EGY-03 blocker; enables EGY-05..EGY-10,HIGH,egyptian
EGY-05,M2 pooled-probabilistic correspondence model fit + held-out validation (§VI),Egyptian external-anchor calibration gate — model fit/validation,research/egyptian-calibration-gate,L6,probabilistic grapheme-correspondence model (add-α positional alignment) with LOO/leave-one-family-out validation,RUN_CONFIRMATORY,SUPPORTED,"acceptance=PASS, beats_baselines=true (validation.py)","M2 top-1 0.691 (top5 0.855, MRR 0.753) vs M0/M1 top-1 0.434 (MRR 0.562); LOFO NW 0.767 (n=30) / South 0.667 (n=3) / cross 0.602 (n=118) — VERIFIED_FROM_ARTIFACT (results/model_validation.json)",adequate at n=152; East subgroup NO_POWER,NONE (calibration-internal; no transfer licence to Aegean),"out-of-sample (LOO/LOFO); learned correspondences match published Egyptology (l→r), not noise",feeds EGY-06..EGY-09 gate stages and EGY-12 one-shot,HIGH,egyptian
EGY-06,Matched-scarcity Linear-B positive control (§VII) — recovery at Cretan-anchor scarcity,Egyptian external-anchor calibration gate — positive control,research/egyptian-calibration-gate,L6,positive control (matched-scarcity recovery + detectability sizing),RUN_CONFIRMATORY,SUPPORTED,control_verdict=PASS; min_detectable_anchors=2 (gate.py),recovery len2 0.818 / len3 0.638 / len4 0.864 / len5 1.0; short-form (≤4) 0.685; per-anchor null 0.00671; min_detectable_anchors=2; expected@K3=2.05 vs null P(≥1)=0.020 — VERIFIED_FROM_ARTIFACT (results/gate.json),min detectable 2 anchors; P(NO_POWER at K=3)=0.031 (see EGY-09),NONE,LOO; DAMOS Linear B as the readable-analog control,companion to EGY-05/EGY-07/EGY-08/EGY-09; feeds EGY-10 verdict,HIGH,egyptian
