method_id,canonical_name,_scope,claim_layer,implementation_status,scientific_outcome,mechanical_verdict,red_team_status
FND-01,WP1 formal identifiability & symmetry theorem (relabeling-invariance scope audit,foundry,L2 (structure/identifiability of the C/V partition); formal meta-claim about met,RUN_EXPLORATORY,REFUTED (of the prior global theorem) / STRUCTURAL_ONLY,PRIOR_THEOREM_OVERSTATED,VERIFIED
FND-02,WP1 word-initial-rate position statistic — C/V symmetry-break counterexample,foundry,L2 (relative C/V structure),RUN_EXPLORATORY,"PARTIAL_SUPPORT (LB, single-feature-modest) / RELATIVE_PHONOLOGY_ONLY on LA (can",PRIOR_THEOREM_OVERSTATED (empirical leg),VERIFIED
FND-03,WP1 symmetry-breaking atlas (13-channel enumeration),foundry,L2 / meta (method-space enumeration),PROPOSED_ONLY (design catalogue; individual channels implemented in later WPs),STRUCTURAL_ONLY (organizing scaffold),atlas built (NOT a verdict-bearing test),VERIFIED
FND-04,"WP3.1 multi-feature C/V classifier (logistic, LB 7-fold CV) + frequency ablation",foundry,L2 (C/V partition),RUN_EXPLORATORY,"SUPPORTED on LB (partition recovered) / RELATIVE_PHONOLOGY_ONLY (ranking, not ca",CV_PARTITION_RECOVERED (LB),VERIFIED
FND-05,WP3.1b unsupervised LA-internal C/V clustering (k-means/GMM),foundry,L2,RUN_EXPLORATORY,NULL (needs labels),NULL,VERIFIED
FND-06,"WP3.2 scribal-substitution similarity graph (n-gram context, degree-preserving n",foundry,L2 (phonological similarity metric),RUN_EXPLORATORY,SUPPORTED on LB (SIGNAL_VALIDATED) / NO_POWER on LA (underpowered),SIGNAL_VALIDATED (LB); LA candidate-underpowered,VERIFIED
FND-07,WP3.2b substitution power curve (LB subsample ladder),foundry,L2 (power characterization),RUN_EXPLORATORY,"PARTIAL_SUPPORT / QUANTIFIED (LA ~1.7x below clean regime, not at a floor)",QUANTIFIED,VERIFIED
FND-08,WP3.3 orthographic-alternation detector,foundry,L2/L3 (orthographic/morphophonological structure),RUN_EXPLORATORY,SUPPORTED on LB / NO_POWER on LA (data-limited),validated (LB) / NO_POWER (LA),VERIFIED
FND-09,WP3.4 morphology C/V-typing detector (bits/word gain),foundry,L3 (morphology/grammar),RUN_EXPLORATORY,SUPPORTED on LB (detector validated) / NULL on LA (recurrence artifact),NULL (LA),VERIFIED
FND-10,"WP2 segmentation lever (packed vs GORILA word units, C/V vowel recovery)",foundry,L2 (methodological / C/V),RUN_EXPLORATORY,PARTIAL_SUPPORT (segmentation helps this channel; a methodological-artifact corr,SEGMENTATION_LEVER_HELPS,VERIFIED
FND-11,WP4 diachronic & cross-script sign-evolution (shape / distributional / chronolog,foundry,L5/L6 (value/phonetic transfer),RUN_EXPLORATORY,NULL (non-circular distributional channel) / CIRCULAR (shape channel capped <=0.,NULL (4th distributional null); shared-AB hypothesis REFUTED non-circularly,VERIFIED
FND-12,WP5(a) external-anchor inventory (3-channel provenance census),foundry,L5 (anchor/value provenance),RUN_EXPLORATORY (inventory build),STRUCTURAL_ONLY / TRIVIAL_RECOVERY (only 2 held-out pins survive independently),INVENTORY_BUILT,VERIFIED
FND-13,WP5(b) reduced-seed C/V bootstrap (semi-supervised label spreading),foundry,L2 (C/V partition),RUN_EXPLORATORY,SUPPORTED on LB (mechanism validated) / NULL on LA (propagation power-limited),SIGNAL_VALIDATED (LB) / NULL (LA),VERIFIED
FND-14,WP5.2 seed-propagation power curve (LB size ladder),foundry,L2 (power characterization),RUN_EXPLORATORY,"QUANTIFIED (LA ~chance; needs ~4.9x corpus, lower bound)",QUANTIFIED,VERIFIED
FND-15,"Synthetic recovery lab (planted CV-syllabary, 5 regimes)",foundry,L2 (method validation on synthetic truth),RUN_EXPLORATORY,"SUPPORTED (methods proven power-limited, not method-dead) / QUANTIFIED 5/5",QUANTIFIED (5/5),VERIFIED
FND-16,WP6 agnostic reduced-K-class value search + multi-family end-to-end null,foundry,L5/L6 (value map),RUN_EXPLORATORY,NULL (fails decisive value-specific nulls),AT_END_TO_END_NULL,VERIFIED
FND-17,WP7 word-segmented substitution channel (segmentation trade-off),foundry,L2 (methodological),RUN_EXPLORATORY,REFUTED (of the 'segmentation is a uniform win' claim) / NULL for this channel w,AT_END_TO_END_NULL for the word-segmented substitution channel (opaque-LB gate s,VERIFIED
FND-18,WP8 word-segmented reduced-seed C/V bootstrap,foundry,L2 (C/V partition),RUN_EXPLORATORY,PARTIAL_SUPPORT (coverage helped: recovers U; accuracy unvalidated on LA) / NULL,opaque-LB gate unchanged (>=3 correct vowel seeds -> AUC>=0.75); LA gain = cover,VERIFIED
FND-19,Candidate-language round 1 (West Semitic / Pre-Greek-Anatolian / agnostic contro,foundry,L8/L9 (language-id / lexical reading),RUN_PREREGISTERED,NULL (same-structure-lexicon artifact; only KU-RO='total' survives),AT_END_TO_END_NULL,VERIFIED
FND-20,Candidate-language round 2 (Hurrian / Luwian / control),foundry,L8/L9,RUN_PREREGISTERED,NULL,AT_END_TO_END_NULL,VERIFIED
FND-21,Candidate-language round 3 (Etruscan / Aegean-isolate substrate / control),foundry,L8/L9,RUN_PREREGISTERED,NULL (the decisive clean finding: random control match rate exceeds Etruscan's),AT_END_TO_END_NULL,VERIFIED
FND-22,Sealed-prediction programme (5 hashed held-out challenge manifests),foundry,L0-L9 (evaluation infrastructure; no claim),DESIGNED_NOT_RUN (splits built; no candidate to score),NOT_APPLICABLE / NO_VERDICT_RECORDED (NO_CANDIDATE_TO_SEAL),NO_CANDIDATE_TO_SEAL,VERIFIED
FND-23,Source-lineage audit / value-lineage-independence register (63 sources),foundry,"meta (provenance / source-dependency, Art. XI)",RUN_EXPLORATORY (inventory),STRUCTURAL_ONLY (honesty finding: every phonetic LA reading is single-sourced th,INVENTORY_BUILT (63 sources; quota met),VERIFIED
PC-01-scaffold,Comparison-layer scaffold: predict/verdict/family_scores + graduation gate (§E),paper_core,NOT_APPLICABLE (infrastructure; enforces L0-L9 caps),REPRODUCED,NOT_APPLICABLE,n/a (it IS the verdict engine); grep-verified sole writer of verdicts table; 13/,VERIFIED
PC-02-decontamination-framework,Decontamination framework: S_phono / S_morph / N_eff instrumentation / L_known-L,paper_core,NOT_APPLICABLE (infrastructure),REPRODUCED,NOT_APPLICABLE,226->365 tests pass; S_morph productivity gate FP=3.0% (6/200) on shuffled corpo,VERIFIED
PC-03-inventory-ontology,Cleaned GORILA/SigLA sign ontology by inheritance (259 tokens -> 166 canonical i,paper_core,L1 (sign-id / functional class),REPRODUCED,STRUCTURAL_ONLY,35/35 tests (+4 xfail); class counts + cleaned floor reproduced [VERIFIED_FROM_A,VERIFIED
PC-04-information-floor,Shannon unicity-distance information floor (WITHDRAWN as identifiability claim),paper_core,L0/L1 diagnostic only,SUPERSEDED,UNDERDETERMINED,WITHDRAWN by two independent red-teams; retained only as toy-model precondition ,VERIFIED
PC-05-morphology-pooled,Direction A pooled unsupervised morphology / affix induction vs L_fake bigram fl,paper_core,L3 (structure/morphology),RUN_PREREGISTERED,NULL_PUBLISHED,has_morphology_power=False (real 0.250 beats shuffle 0.000 but NOT L_fake bigram,VERIFIED
PC-06-segmentation-published,Word-boundary segmentation positive: DP-unigram (Goldwater) micro-F1 vs random-b,paper_core,L2 (structure/word segmentation),REPRODUCED,SUPPORTED,"micro-F1 0.4361 vs random 0.3888; site-clustered bootstrap gap 95% CI [0.021,0.0",VERIFIED
PC-07-linb-morphology-control,Linear B (Mycenaean Greek) morphology positive control for the bigram-floor test,paper_core,"L3 (control, on a known script)",RUN_PREREGISTERED,SUPPORTED,has_morphology_power=True: real 0.5625 > shuffle 0.0 and > L_fake 0.3125 [VERIFI,VERIFIED
PC-08-morphology-stratified,"Direction-A STRATIFIED morphology re-run (per-genre stratum, cross-stratum stabi",paper_core,L3 (structure/morphology),RUN_PREREGISTERED,NULL_PUBLISHED,"has_validated_morphology=False at pre-registered alpha=0.01, robust to genre buc",VERIFIED
PC-09-metrology,Direction D metrology: constraint-optimization / RANSAC fraction-value solver on,paper_core,L4/L3 (functional; metrological system),RUN_PREREGISTERED,NULL_PUBLISHED,"held-out fraction balance 0.0 vs permutation-null mean 0.113 (max 0.143), p=1.0,",VERIFIED
PC-10-ab-alignment-null,Track B A<->B distributional/sequence alignment: held-out shared-sign phonetic-v,paper_core,L6 (phonetic value),RUN_PREREGISTERED,NULL_PUBLISHED,clearly_above_chance=False; best (CCA/procrustes) ~0.020-0.025 vs chance 0.011-0,VERIFIED
PC-11-distributional-phonology-pilot,Distributional-phonology pilot (Track-2): does a sign's context predict its C/V ,paper_core,L6 (phonetic value),RUN_PREREGISTERED,NULL_PUBLISHED,bridge_detected=False (DATA-LIMITED); consonant 0.080 vs null 0.065 Sidak p 0.64,VERIFIED
PC-12-palaeo-image,Sign-image palaeography: cross-script A<->B IMAGE alignment (classical HOG+Hu+sh,paper_core,"L6 image-based (relabelled CIRCULAR, excluded from claims)",RUN_PREREGISTERED,CIRCULAR,"classical direct-NN 0.410 / Procrustes 0.185 (~30x chance, ~9x seq null) but rel",VERIFIED
PC-13-lfake-canary,L_fake fabricated-language canary: false-positive floor self-validation (Ugariti,paper_core,NOT_APPLICABLE (decontamination floor),REPRODUCED,SUPPORTED,CANARY_HOLDS at every eps: real S_lex clears corrected-margin bar (0.759>0.389 a,VERIFIED
PC-14-litindex-population,litindex populated with 6 verified West-Semitic proposals (2 rejected),paper_core,"NOT_APPLICABLE (contamination targets, all DISPUTED)",RUN_CONFIRMATORY,NOT_APPLICABLE,"index 57->63 claims; 6 written, 2 rejected (qa-pa, Semitic ki-ro) [VERIFIED_FROM",VERIFIED
PC-15-llm-ablation-c4,C.4 LLM-ablation on qwen2.5:72b: contamination delta (raw divergence + cross-met,paper_core,L6 (LLM phonetic proposals) / decontamination,PARTIALLY_IMPLEMENTED,INCOMPLETE,contamination_rate=1.000 in all 32 defined seeds is an ARTIFACT (a_lit_hits==del,VERIFIED
PC-16-llm-ablation-gate2,C.4 gate-2 cognate-level per-word regurgitation table (qwen2.5:72b),paper_core,"L6 / decontamination (published-reading reproduction, web-prevalence weighted)",RUN_CONFIRMATORY,PARTIAL_SUPPORT,"cognate_contamination_rate CONFOUNDED (rate_confounded=True, mean 0.646) NOT rep",VERIFIED
PC-17-lvirgin-lnotindexed,L_virgin / L_not_indexed generalization test on qwen2.5:72b (abstention asymmetr,paper_core,L6 / decontamination (memorization vs reasoning),RUN_PREREGISTERED,PARTIAL_SUPPORT,"headline excess-gap 0.601 p=0.0005 is COVERAGE-CONFOUNDED (no_power=True, 0/11 v",VERIFIED
PC-18-gate-null-calibration,Graduation-gate null calibration: realized false-graduation rate under multiplic,paper_core,NOT_APPLICABLE (gate calibration),RUN_CONFIRMATORY,SUPPORTED,false_graduations 3/500 = 0.6%; Clopper-Pearson one-sided 95% upper 0.01543 [VER,VERIFIED
PC-19-tamburini-reproduction,Tamburini 2025 CSA_OptMatcher reproduction (non-neural cognate-ID baseline),paper_core,"NOT_APPLICABLE (prior-art baseline, not a LA contribution)",PARTIALLY_IMPLEMENTED,PARTIAL_SUPPORT,wrapper VALIDATED: Luvian-Hittite 0.475==0.475 exact; Phoenician-Ugaritic 0.829 ,VERIFIED
PC-20-ugaritic-hebrew-heuristic,Ugaritic->Hebrew known-answer recovery (simplified Hungarian EM heuristic baseli,paper_core,NOT_APPLICABLE (harness calibration on a known answer),SUPERSEDED,PARTIAL_SUPPORT,"cognate_accuracy 0.0055 (12/2182) vs chance 0.0004 (~14x, real signal) but far b",VERIFIED
PC-21-csa-h100-build,CSA batched-parallel CUDA cognate-matcher build + validation (H100),paper_core,NOT_APPLICABLE (compute/engineering),COMPUTE_BLOCKED,INCOMPLETE,matcher built + validated bit-identical to serial (best_energy 60.169151==60.169,VERIFIED
PC-22-csa-sufficiency-curve,CSA pseudo-decipherment learning-curve sufficiency sweep (deposited curve; Exit-,paper_core,L0/L1 sufficiency diagnostic (UPPER BOUND; no phonetic claim),INVALIDATED,INCOMPLETE,"deposited LA-scale value is an _interp ENDPOINT CLAMP from size 276/346, NOT a 6",VERIFIED
PC-23-referee-simulation,Hostile-referee simulation of the preprint (revision roadmap),paper_core,NOT_APPLICABLE (meta/review),RUN_EXPLORATORY,NOT_APPLICABLE,"verdict: major revisions; 8 issues (2 runnable blockers, 2 operator blockers, 4 ",VERIFIED
PC-24-review-code-fixes,Pre-submission code-integrity fixes (P0-P5 + second-pass) verify-before-fixing +,paper_core,NOT_APPLICABLE (code integrity),REPRODUCED,NOT_APPLICABLE,"365 passed, 4 xfailed; every deterministic probe reproduced exactly; P0 gate bug",VERIFIED
PC-25-paper-audit-priorart,Paper audit: Tamburini 2025 as major prior art; novelty re-assessment,paper_core,NOT_APPLICABLE (positioning),RUN_CONFIRMATORY,NOT_APPLICABLE,faithful-B-K&K rebuild MOOT (Tamburini published it); logos-novel = L_fake + L_v,VERIFIED
PC-26-redteam-synthesis,Expert red-team synthesis: withdrawn overclaims + corrected roadmap,paper_core,NOT_APPLICABLE (meta-correction),RUN_CONFIRMATORY,NOT_APPLICABLE,"7 claims WITHDRAWN (unicity identifiability, faithful-B-K&K, LA chance-null ill-",VERIFIED
PC-30-crossscript-gate-phase0,Cross-script LA<->LB value-recovery gate Phase 0 + 0.5 (power precheck -> GO),paper_core,L6 (design/power for phonetic-value recovery),DESIGNED_NOT_RUN,NO_VERDICT_RECORDED,"Phase 0 MARGINAL (power 0.26 at s<=3, GO needs 0.80) -> escalated; Phase 0.5 GO ",VERIFIED
PC-31-crossscript-gate-phase1,Cross-script gate Phase 1 one-shot: preregistered/DOI-timestamped held-out value,paper_core,L6 (phonetic value convention),RUN_CONFIRMATORY,REFUTED,REFUTE_LOTO_FRAGILE: full clears (p=0.0305) but LOTO -se-to-i-ja/-su-ki-ri-ta dr,VERIFIED
PC-32-crossscript-gate-phase2,"Cross-script gate Phase 2 second one-shot: 8 vetted anchors, corrected two-attem",paper_core,L6 (phonetic value convention),RUN_CONFIRMATORY,REFUTED,REFUTE: full p_raw 0.0255 misses corrected bar 0.02532 by 0.0002; both pin-carry,VERIFIED
PC-33-crossscript-gate-phase3,Cross-script gate Phase 3 + corpus-completeness sweep (Anetaki / newly-published,paper_core,L1/L6 (corpus supply),SOURCE_BLOCKED,INCOMPLETE,GAP verdict PENDING-FULL-EDITION; VERDICT UNMOVED (procurement spec upgraded to ,VERIFIED
PC-34-segmentation-extension,Segmentation extension: PYP-Gibbs + tiny neural BiLSTM + tuned Morfessor vs the ,paper_core,L2 (word segmentation),RUN_PREREGISTERED,SUPPORTED,"gates PASSED (DP 0.4361/random 0.3888 EXACT; bootstrap CI [0.0204,0.0991]); PYP ",VERIFIED
PC-35-representation-audit,Representation audit: transcription-treatment sensitivity of the paper's corpus ,paper_core,L1 (representation robustness),RUN_EXPLORATORY,STRUCTURAL_ONLY,sensitivity LOW/LOCALIZED: under plausible ambiguity (allograph merge) no statis,VERIFIED
PC-36-schema-recon,Schema recon: does the corpus retain the administrative payload layer? (read-onl,paper_core,L3 (functional/administrative structure),RUN_EXPLORATORY,STRUCTURAL_ONLY,PARTIAL-executable: integer core (commodity x integer-quantity x total x positio,VERIFIED
PC-37-schema-induction,Administrative-schema induction: total-reconciliation from structure alone vs pe,paper_core,L3 (functional/accounting grammar; KU-RO opaque),RUN_EXPLORATORY,STRUCTURAL_ONLY,"EXPLORATORY/DESCRIPTIVE (NOT gate-validated): 29.2% (7/24) exact, 35% clean subs",VERIFIED
PC-38-campaign-phaseA-audit,Linear A 12h campaign Phase A: exhaustive verdict-map audit across all branches,paper_core,meta (L2-L6 avenues audited),RUN_CONFIRMATORY,UNDERDETERMINED,every avenue converges on one corpus-identifiability ceiling; 6th-10th rigorous ,VERIFIED
PC-39-campaign-egyptian-power,Campaign T2: Egyptian external-anchor frozen-regime power pass,paper_core,L6 (external phonetic anchor),POWER_GATED_BEFORE_RUN,NO_POWER,design-viable but scarcity-limited: FP drops 0.25->0.04 at La=4 (frozen) but hin,VERIFIED
PC-40-campaign-completeness-critic,Campaign T3: adversarial completeness critic (methods / data / assumptions),paper_core,meta,RUN_CONFIRMATORY,UNDERDETERMINED,all 3 diverse-lens critics converge: NO_GENUINE_AVENUE / ALREADY_TESTED / UNDERP,VERIFIED
PC-41-campaign-identifiability-synthesis,Campaign T4: identifiability synthesis (parameters > constraints -> UNDERDETERMI,paper_core,L6 (info-budget certification),RUN_CONFIRMATORY,UNDERDETERMINED,UNDERDETERMINED: 259 sign-value parameters > 212 independent constraints (genero,VERIFIED
PC-42-campaign-kuro-control,"Campaign T5: KU-RO arithmetic-reconciliation positive control (harness FIRES, si",paper_core,L3 (functional/accounting grammar; KU-RO opaque token),RUN_CONFIRMATORY,STRUCTURAL_ONLY,"harness_fires_on_signal=True (25% vs 1.47% null = 17x, p=0.0005) BUT cross_site_",VERIFIED
A1_reconstruct,Reconstruction/recompute of Foundry position->C/V analogue (LB),relative_phonology,L2,REPRODUCED,SUPPORTED,REPRODUCED_EXACTLY + filter-bug found (exp(log(20))<20 drops 3 signs; 74 vs 77),VERIFIED_WITH_MINOR_CORRECTION
A2_multiplicity,Multiplicity audit of the position->C/V p-value,relative_phonology,L2,RUN_CONFIRMATORY,REFUTED,SINGLE-FEATURE POSITION DOWNGRADED — survives no correction; not even the best f,VERIFIED
A3_replications,Independent replications of C/V partition (GMM/HMM latent class),relative_phonology,L2,RUN_CONFIRMATORY,REFUTED,EXPLORATORY_FREQUENCY_ARTIFACT; 2 unsupervised models FAIL; oriented null p0.146,VERIFIED
A4_grouped,Grouped generalization (freq-band-disjoint / LOSO / chronological),relative_phonology,L2,RUN_CONFIRMATORY,REFUTED,REFUTE-AS-STATED; collapses under freq-band-disjoint split (position-only 0.481=,VERIFIED
A5_degradation,Degradation response surface (LB -> LA regime),relative_phonology,L2,RUN_CONFIRMATORY,REFUTED,REFUTE+NO_POWER; flat non-significant surface (undegraded LB p~0.16),VERIFIED
A6_nulls,End-to-end null battery for the position channel (WP-A verdict task),relative_phonology,L2,RUN_CONFIRMATORY,REFUTED,CV_ANALOGUE_REFUTED (WP-A verdict),VERIFIED
B1_representations,Build 8 channel-specific segmentation representations,relative_phonology,L1,RUN_EXPLORATORY,SUPPORTED,"COMPLETE — 8 representations, provenance+reversibility verified",VERIFIED
B3_known_script,Known-script (LB) boundary recovery + downstream by segmentation family,relative_phonology,L2,RUN_CONFIRMATORY,SUPPORTED,"SUPPORTED_ON_LB (6 families beat baselines, Bayesian F1 0.608); C/V seg-INVARIAN",VERIFIED
B4_synthetic,Synthetic syllabic-corpus segmentation calibration,relative_phonology,L1,RUN_CONFIRMATORY,NO_POWER,QUANTIFIED: at LA hapax regime boundary skill over all-cut ~0; over-cut superset,VERIFIED
B5_la_ensemble,Linear A segmentation ensemble (validated models only),relative_phonology,L2,RUN_CONFIRMATORY,STRUCTURAL_ONLY,probabilistic over-cut set; real signal is physical layout not distribution (row,VERIFIED
B6_downstream,Downstream causal segmentation test (held-out LB endorsement),relative_phonology,L2,RUN_CONFIRMATORY,PARTIAL_SUPPORT,held-out LB endorses GORILA_WORD; ensemble over-cut annihilates LA morphology,VERIFIED
C1_candidates,Catalogue LA one/few-sign-diff substitution pairs,relative_phonology,L1,RUN_EXPLORATORY,SUPPORTED,CATALOGUED 3749 pairs + 253 edition-disagreements; 7 Tier-A,VERIFIED
C3_lb_calib,Linear B substitution-channel calibration,relative_phonology,L2,RUN_CONFIRMATORY,SUPPORTED,CALIBRATED: consonant-held axis AUC 0.744; same-vowel weak 0.612; allograph anti,VERIFIED
C_AUDIT,Substitution consonant-held axis WP-A-style audit on LB (BONUS),relative_phonology,L2,RUN_CONFIRMATORY,SUPPORTED,SUBSTITUTION_CONSONANT_AXIS_VALIDATED (survives full battery; frequency-normaliz,VERIFIED
C4_la_graph,Linear A substitution graph (anonymous relative classes),relative_phonology,L2,RUN_CONFIRMATORY,NULL,CONSONANT_HELD_ANALOGUE = NOT_RECOVERED (underpowered + word-initial wrong-signa,VERIFIED
C5_stability,LA substitution-graph stability + deflated information gain,relative_phonology,L2,RUN_CONFIRMATORY,UNDERDETERMINED,FRAGILE; SEVERE Haghia-Triada dependency; deflated info-gain 4 bits (vs 12 if-tr,VERIFIED
D1_multiview,Multi-view latent relative-feature model over audited channels,relative_phonology,L2,RUN_CONFIRMATORY,NULL,"MULTIVIEW_NO_VALUE_RECOVERY (fused vowel-AUC 0.538, residualized 0.450)",VERIFIED
D2_ablations,View ablations of the multi-view model,relative_phonology,L2,RUN_CONFIRMATORY,NULL,LA null after frequency across all views; LB control fires freq-robust,VERIFIED
D3_seed_audit,Seed-propagation audit of Foundry '3-4 seeds -> 0.87',relative_phonology,L2,RUN_CONFIRMATORY,REFUTED,SEED_PROPAGATION_FREQUENCY_ARTIFACT (3rd Foundry correction),VERIFIED
D4_frontier,Minimal-seed frontier for value recovery,relative_phonology,L2,RUN_CONFIRMATORY,NO_POWER,LA below minimal-seed threshold; value-blind selection flat 0.50; SEED_A=0,VERIFIED
D5_posterior,Linear A anonymous relative posterior classes (value-free),relative_phonology,L2,RUN_CONFIRMATORY,NULL,anonymous K=2 partition (provenance+morphology); aligns vowel/CV only at chance,VERIFIED
E1_morphology,Three anonymous morphology models (MDL/Bayesian/FSM-paradigm),relative_phonology,L3,RUN_CONFIRMATORY,STRUCTURAL_ONLY,A- prefixation robust; corrects wave-2 to A- ONLY (-JA/I- artifacts); libation r,VERIFIED
E2_formula,Formula grammar induction (ledger + libation registers),relative_phonology,L3,RUN_CONFIRMATORY,STRUCTURAL_ONLY,2 formula grammars (ledger KU-RO/KI-RO + libation rigid order p5e-5),VERIFIED
E3_crosssite,Cross-site generalization of morphology (A-/-JA/I-),relative_phonology,L3,RUN_CONFIRMATORY,NULL,published p 0.0099 (non-HT A-) DOWNGRADED by K1 to descriptive (adaptive p 0.42),VERIFIED
E4_paramreduce,Parameter reduction: compression vs held-out prediction,relative_phonology,L3,RUN_CONFIRMATORY,NULL,compresses training but held-out gain not structural (metric-insensitive; LB con,VERIFIED
E5_wrongstruct,Wrong-structure controls for A- morphology,relative_phonology,L3,RUN_CONFIRMATORY,SUPPORTED,real A- morphology beats all wrong-structure controls (paired p0.0005); modest,VERIFIED
F1_decompose,Cross-script evidence decomposition (per-channel calibratability),relative_phonology,L2,RUN_CONFIRMATORY,NULL,only admin_function non-circular+calibratable = NULL; value channels circular; 0,VERIFIED
F2_calib,Known-script calibration of shape->descent->value chain,relative_phonology,L2,RUN_CONFIRMATORY,NO_POWER,cross-script value power NULL at LA scale,VERIFIED
F4_loso,"Leave-one-sign-out LA-LB value-family prediction (+Cypro-Minoan, rel-class compa",relative_phonology,L2,RUN_CONFIRMATORY,NULL,"LOSO NULL (R@5 0.071 vs shuffled 0.066; 4th distributional null, concordant REFU",VERIFIED
G1_anchor_audit,Audit of existing 115 external anchors,relative_phonology,L2,RUN_CONFIRMATORY,NULL,115 records -> 6 lineages / 1 value channel / 5 toponym equations; zero held-out,VERIFIED
G2_expand,Expand high-value multi-sign-constraining anchor classes,relative_phonology,L2,RUN_CONFIRMATORY,NULL,rich relative substrate but ZERO new value-bearing anchors,VERIFIED
G3_seedq,Seed-quality classification + compound systems + anchor nulls,relative_phonology,L2,RUN_CONFIRMATORY,NULL,SEED_A=0; no independently-secure value seed; value substrate = one circular top,VERIFIED
H1_round1,Bounded candidate round 1 (relative-class-constrained family models),relative_phonology,L2,RUN_PREREGISTERED,NULL,"AT_END_TO_END_NULL (0/3 families; SEM only KU-RO, fails Holm+LOO; controls at nu",VERIFIED
H2_round2,Bounded candidate round 2 (anchor-constrained family/isolate models),relative_phonology,L2,RUN_PREREGISTERED,NULL,AT_ANCHOR_CONSTRAINED_NULL (anchors add 0 held-out matches; SEED_A=0 direct),VERIFIED
H3_round3,Bounded candidate round 3 (morphology-first joint decipherment) — decisive ident,relative_phonology,L2,RUN_PREREGISTERED,UNDERDETERMINED,"AT_JOINT_INFERENCE_NULL — backbone relabeling-invariant (200 relabelings, read-c",VERIFIED
I1_agnostic,Agnostic constrained value search (beam/best-first + MDL grids),relative_phonology,L3,RUN_PREREGISTERED,UNDERDETERMINED,UNDERDETERMINED_NO_RECOVERY (detector LIVE on LB; LA null informative; >=10^27 t,VERIFIED
J1_exposure,Anetaki public-exposure audit (sealable-delta definition),relative_phonology,L2,RUN_EXPLORATORY,SUPPORTED,only unpublished transliterated VALUES sealable; 8 exclusion classes,VERIFIED
J2_seals_programme,Sealed-prediction programme (freeze 5 hashed seals),relative_phonology,L3,RUN_PREREGISTERED,STRUCTURAL_ONLY,5 hashed seals frozen; phonetic scoring NO_CANDIDATE_TO_SEAL; structural predict,VERIFIED
SEAL_2,SEAL_2 held-out 15% inscriptions (A-prefix + ledger well-formedness),relative_phonology,L3,RUN_CONFIRMATORY,SUPPORTED,SUPPORTED (held-out A-rate 0.0525 inside band; ledger wf 0.857),VERIFIED
SEAL_3,SEAL_3 unseen site Khania (carrier-value grammar transfer + KU-RO absence),relative_phonology,L3,RUN_CONFIRMATORY,SUPPORTED,SUPPORTED (carrier-value wf 0.8525; KU-RO absence correctly predicted; the subst,VERIFIED
SEAL_4,"SEAL_4 unseen libation family (rigid anchor order, leave-one-carrier-out)",relative_phonology,L3,RUN_CONFIRMATORY,SUPPORTED,"SUPPORTED (0/45 inversions, LOO)",VERIFIED
SEAL_5,SEAL_5 masked-notation ledger arithmetic (committed negative),relative_phonology,L3,RUN_CONFIRMATORY,NULL,honest committed NEGATIVE — UNDERPOWERED_NO_SIGNAL (does not beat mode baseline),VERIFIED
ANETAKI_DELTA_SEAL,ANETAKI_FINAL_EDITION_DELTA_SEAL (prospective structural-only),relative_phonology,L3,DESIGNED_NOT_RUN,INCOMPLETE,SEALED_PROSPECTIVE (PASS=null; scoreable on editio princeps),VERIFIED
K1_nulls,Full adaptive best-of-selection null programme,relative_phonology,L3,RUN_CONFIRMATORY,SUPPORTED,NULLS_CONFIRM_NULLS; value-layer FP=chance (0 bits); 3 L2/L3 positives survive; ,VERIFIED_WITH_MINOR_CORRECTION
L1_sourcewatch,Source watch + expected-information-gain ranking + ingestion readiness,relative_phonology,L0,RUN_EXPLORATORY,INCOMPLETE,9 acquisitions ranked; Anetaki II = falsification power not licence lift,VERIFIED
M1_synthesis,Final synthesis + 7-licence gate evaluation,relative_phonology,L3,RUN_CONFIRMATORY,NULL_PUBLISHED,NEW_CONSTRAINTS_BUT_NO_DECIPHERMENT; all 7 licences NOT_EARNED; highest L2/L3,VERIFIED
EA-13,FROZEN Egyptian-loanword (Hoch) power-envelope pass on external anchors,external_language,L5/L6 anchor power (design),RUN_CONFIRMATORY,STRUCTURAL_ONLY/POWERED_DESIGN (scarcity-limited),POWERED_DESIGN at La>=4 but scarcity-limited; materially qualifies EA-02 NO_POWE,ADDED_BY_RED_TEAM (P1 read stale la-lb-ritual copy; owning branch newer)
