method_id,method,campaign,claim_layer,held_out,null,outcome,verdict,power,licence
LR-06-RITUAL-POSITIVE-CONTROLS,Ritual feasibility positive controls PC-R1..R4 (synthetic/wi,external_language,L5,feasibility controls before any real mat,NOT_APPLICABLE (controls),SUPPORTED,PC-R1 exact synthetic implant recovered 1/1..5/5; ,confirms exact-continuit,none
LR-07-RITUAL-NULLS-POWER-SIM,"Ritual null families + power simulation (12 families, permis",external_language,L5,detection rule >=1 exact recovered (null,12 families; family 9 (independent drift,NO_POWER,"Exact: FP 0.8% (1.6% post-hoc-bounded), full power",exact FULL (min 1); drif,none
LR-08-RITUAL-FINAL-FEASIBILITY-VERDICT,Final ritual feasibility verdict (§XII),external_language,L5,untouched evaluation route exists (9x15),12 (LR-07),NO_POWER,"status=COMPLETE, ritual_channel_readiness=NO_POWER","exact full, drift none",none (no phonetic/lexica
FND-01,WP1 formal identifiability & symmetry theorem (relabeling-in,foundry,L2 (structure/id,N/A (theorem); empirical leg validated o,N/A,REFUTED (of the prior global theorem) / ,PRIOR_THEOREM_OVERSTATED,N/A,NONE (all LA transfer NO
FND-02,WP1 word-initial-rate position statistic — C/V symmetry-brea,foundry,L2 (relative C/V,known-truth LB validation gates the LA a,"position permutation null, 2000 realizat","PARTIAL_SUPPORT (LB, single-feature-mode",PRIOR_THEOREM_OVERSTATED (empirical leg),single feature; strength,NONE
FND-03,WP1 symmetry-breaking atlas (13-channel enumeration),foundry,L2 / meta (metho,N/A,N/A,STRUCTURAL_ONLY (organizing scaffold),atlas built (NOT a verdict-bearing test),N/A,NONE
FND-04,"WP3.1 multi-feature C/V classifier (logistic, LB 7-fold CV) ",foundry,L2 (C/V partitio,7-fold CV on LB; LA is out-of-domain app,200 permutation realizations,SUPPORTED on LB (partition recovered) / ,CV_PARTITION_RECOVERED (LB),adequate on LB; LA proba,NONE
FND-05,WP3.1b unsupervised LA-internal C/V clustering (k-means/GMM),foundry,L2,LB known-truth gate BLOCKS LA applicatio,"label-permutation ARI null, 500 realizat",NULL (needs labels),NULL,dominant variance axis (,NONE
FND-06,"WP3.2 scribal-substitution similarity graph (n-gram context,",foundry,L2 (phonological,LB known-truth grades benchmark; LA appl,"degree-preserving graph null, 300 realiz",SUPPORTED on LB (SIGNAL_VALIDATED) / NO_,SIGNAL_VALIDATED (LB); LA candidate-underpowered,LA max weight 105 below ,NONE
FND-07,WP3.2b substitution power curve (LB subsample ladder),foundry,L2 (power charac,N/A (characterization),N/A,PARTIAL_SUPPORT / QUANTIFIED (LA ~1.7x b,QUANTIFIED,explicitly a power chara,NONE
FND-08,WP3.3 orthographic-alternation detector,foundry,L2/L3 (orthograp,LB known-truth grades benchmark,"corpus-shuffle null, 300 realizations",SUPPORTED on LB / NO_POWER on LA (data-l,validated (LB) / NO_POWER (LA),LA unsegmented -> no sup,NONE
FND-09,WP3.4 morphology C/V-typing detector (bits/word gain),foundry,L3 (morphology/g,paradigm-relative held-out to avoid word,permutation null (n=300),SUPPORTED on LB (detector validated) / N,NULL (LA),LA lacks paradigm depth,NONE
FND-10,"WP2 segmentation lever (packed vs GORILA word units, C/V vow",foundry,L2 (methodologic,"LA vowel identity is the check, not a mo",N/A (AUC comparison),PARTIAL_SUPPORT (segmentation helps this,SEGMENTATION_LEVER_HELPS,shows part of the 'under,NONE
FND-11,WP4 diachronic & cross-script sign-evolution (shape / distri,foundry,L5/L6 (value/pho,leave-one-sign-out; shuffled-anchor null,shuffled-anchor null (10-perm) — the 4th,NULL (non-circular distributional channe,NULL (4th distributional null); shared-AB hypothes,distributional at chance,NONE
FND-12,WP5(a) external-anchor inventory (3-channel provenance censu,foundry,L5 (anchor/value,the frozen cross-script gate recovered o,N/A,STRUCTURAL_ONLY / TRIVIAL_RECOVERY (only,INVENTORY_BUILT,anchors are not the bott,NONE
FND-13,WP5(b) reduced-seed C/V bootstrap (semi-supervised label spr,foundry,L2 (C/V partitio,held-out vowel AUC on LB; seeds excluded,200-draw random-seed null,SUPPORTED on LB (mechanism validated) / ,SIGNAL_VALIDATED (LB) / NULL (LA),LA affinity graph too we,NONE
FND-14,WP5.2 seed-propagation power curve (LB size ladder),foundry,L2 (power charac,held-out vowel AUC per size,"24 subsamples per size (variance), no se",QUANTIFIED (LA ~chance; needs ~4.9x corp,QUANTIFIED,the WP5 LA null is corpu,NONE
FND-15,"Synthetic recovery lab (planted CV-syllabary, 5 regimes)",foundry,L2 (method valid,synthetic ground truth = the check,sub_null=100; mc_reps=12; reps=200,"SUPPORTED (methods proven power-limited,",QUANTIFIED (5/5),the core deliverable: LA,NONE
FND-16,WP6 agnostic reduced-K-class value search + multi-family end,foundry,L5/L6 (value map,held-out per-token predictive improvemen,"3 families (S,W,R), n=3 realizations eac",NULL (fails decisive value-specific null,AT_END_TO_END_NULL,detects generic linguist,NONE
FND-17,WP7 word-segmented substitution channel (segmentation trade-,foundry,L2 (methodologic,opaque-LB gate (word units) still fires ,"degree-preserving null, 300 realizations",REFUTED (of the 'segmentation is a unifo,AT_END_TO_END_NULL for the word-segmented substitu,short GORILA words starv,NONE
FND-18,WP8 word-segmented reduced-seed C/V bootstrap,foundry,L2 (C/V partitio,opaque-LB word-unit gate; LA vowel ident,unsupervised null referenced,PARTIAL_SUPPORT (coverage helped: recove,opaque-LB gate unchanged (>=3 correct vowel seeds ,coverage improves but LA,NONE
FND-19,Candidate-language round 1 (West Semitic / Pre-Greek-Anatoli,foundry,L8/L9 (language-,held-out multi-sign tokens; decisive nul,3 families (S/W/R) x 200 realizations + ,NULL (same-structure-lexicon artifact; o,AT_END_TO_END_NULL,adequate to detect the a,NONE (LANGUAGE_ID / LEXI
FND-20,Candidate-language round 2 (Hurrian / Luwian / control),foundry,L8/L9,held-out tokens; decisive W+R nulls,3 families x 200 realizations + 300 cali,NULL,AT_END_TO_END_NULL,adequate,NONE
FND-21,Candidate-language round 3 (Etruscan / Aegean-isolate substr,foundry,L8/L9,held-out tokens; decisive W+R nulls,3 families x 200 realizations + 300 cali,NULL (the decisive clean finding: random,AT_END_TO_END_NULL,the clean mechanism isol,NONE
FND-22,Sealed-prediction programme (5 hashed held-out challenge man,foundry,L0-L9 (evaluatio,the seals ARE the held-out design (table,N/A,NOT_APPLICABLE / NO_VERDICT_RECORDED (NO,NO_CANDIDATE_TO_SEAL,preserves the split for ,NONE
FND-23,Source-lineage audit / value-lineage-independence register (,foundry,meta (provenance,N/A,N/A,STRUCTURAL_ONLY (honesty finding: every ,INVENTORY_BUILT (63 sources; quota met),N/A,NONE
PC-01-scaffold,Comparison-layer scaffold: predict/verdict/family_scores + g,paper_core,NOT_APPLICABLE (,prediction JSON freezes heldout_forms/ca,n/a (consumes probe nulls),NOT_APPLICABLE,n/a (it IS the verdict engine); grep-verified sole,n/a,none (enforcement of tra
PC-02-decontamination-framework,Decontamination framework: S_phono / S_morph / N_eff instrum,paper_core,NOT_APPLICABLE (,held-out forms scored by S_phono/S_morph,within-form permutation null,NOT_APPLICABLE,226->365 tests pass; S_morph productivity gate FP=,100% on genuine recurrin,none
PC-03-inventory-ontology,Cleaned GORILA/SigLA sign ontology by inheritance (259 token,paper_core,L1 (sign-id / fu,n/a,n/a,STRUCTURAL_ONLY,35/35 tests (+4 xfail); class counts + cleaned flo,n/a,none
PC-04-information-floor,Shannon unicity-distance information floor (WITHDRAWN as ide,paper_core,L0/L1 diagnostic,none,none,UNDERDETERMINED,WITHDRAWN by two independent red-teams; retained o,n/a,none
PC-05-morphology-pooled,Direction A pooled unsupervised morphology / affix induction,paper_core,L3 (structure/mo,"leave-one-site-out (52 sites), not k-fol",within-form permutation null + L_fake bi,NULL_PUBLISHED,has_morphology_power=False (real 0.250 beats shuff,underpowered by short wo,none
PC-06-segmentation-published,Word-boundary segmentation positive: DP-unigram (Goldwater) ,paper_core,L2 (structure/wo,leave-one-site-out over 52 sites; bounda,site-clustered bootstrap B=4000 (paired ,SUPPORTED,micro-F1 0.4361 vs random 0.3888; site-clustered b,adequate; positive stand,STRUCTURAL only (L2); ea
PC-07-linb-morphology-control,Linear B (Mycenaean Greek) morphology positive control for t,paper_core,"L3 (control, on ",productivity gate (>=2 distinct residual,"shuffle + L_fake (5 draws: 5,5,5,5,4)",SUPPORTED,has_morphology_power=True: real 0.5625 > shuffle 0,fires; power tracks word,"none (control, not a LA "
PC-08-morphology-stratified,"Direction-A STRATIFIED morphology re-run (per-genre stratum,",paper_core,L3 (structure/mo,cross-stratum + >=2-site presence,per-affix L_fake markov; 3-draw union fl,NULL_PUBLISHED,has_validated_morphology=False at pre-registered a,thin strata; even i-*301,none
PC-09-metrology,Direction D metrology: constraint-optimization / RANSAC frac,paper_core,L4/L3 (functiona,grouped k-fold by document; fractions so,"shuffle sign->value map per fold, 500-10",NULL_PUBLISHED,held-out fraction balance 0.0 vs permutation-null ,parse-coverage limited (,none
PC-10-ab-alignment-null,Track B A<->B distributional/sequence alignment: held-out sh,paper_core,L6 (phonetic val,"80/20 train/held-out over anchors, fit o",random_chance floor + shuffled-anchor ne,NULL_PUBLISHED,clearly_above_chance=False; best (CCA/procrustes) ,positive control 0.947-0,none; PHONETIC not autho
PC-11-distributional-phonology-pilot,Distributional-phonology pilot (Track-2): does a sign's cont,paper_core,L6 (phonetic val,LOO 1-NN,label-permutation null,NULL_PUBLISHED,bridge_detected=False (DATA-LIMITED); consonant 0.,detects planted s>=2; ca,none
PC-12-palaeo-image,Sign-image palaeography: cross-script A<->B IMAGE alignment ,paper_core,L6 image-based (,held-out shared-sign recovery,2000-draw permutation null (allograph); ,CIRCULAR,classical direct-NN 0.410 / Procrustes 0.185 (~30x,recovers far above chanc,none; truth-layer cap <=
PC-13-lfake-canary,L_fake fabricated-language canary: false-positive floor self,paper_core,NOT_APPLICABLE (,leakage-controlled split (lexicon on one,L_fake floor from 300 instances; correct,SUPPORTED,CANARY_HOLDS at every eps: real S_lex clears corre,clears at every eps,none (it IS the floor)
PC-14-litindex-population,litindex populated with 6 verified West-Semitic proposals (2,paper_core,NOT_APPLICABLE (,n/a,n/a,NOT_APPLICABLE,"index 57->63 claims; 6 written, 2 rejected (qa-pa,",n/a,none
PC-15-llm-ablation-c4,C.4 LLM-ablation on qwen2.5:72b: contamination delta (raw di,paper_core,L6 (LLM phonetic,held-out LA forms,n/a,INCOMPLETE,contamination_rate=1.000 in all 32 defined seeds i,harness runs cleanly on ,none
PC-16-llm-ablation-gate2,C.4 gate-2 cognate-level per-word regurgitation table (qwen2,paper_core,L6 / decontamina,n/a,n/a,PARTIAL_SUPPORT,cognate_contamination_rate CONFOUNDED (rate_confou,distinctive regurgitatio,none
PC-17-lvirgin-lnotindexed,L_virgin / L_not_indexed generalization test on qwen2.5:72b ,paper_core,L6 / decontamina,L_known vs L_virgin partition,"permutation p=0.0005 (confounded, not re",PARTIAL_SUPPORT,headline excess-gap 0.601 p=0.0005 is COVERAGE-CON,no power for rigorous co,none
PC-18-gate-null-calibration,Graduation-gate null calibration: realized false-graduation ,paper_core,NOT_APPLICABLE (,held-out target skeletons,500 best-of-100 random-map trials,SUPPORTED,false_graduations 3/500 = 0.6%; Clopper-Pearson on,companion LB morphology ,none
PC-19-tamburini-reproduction,Tamburini 2025 CSA_OptMatcher reproduction (non-neural cogna,paper_core,NOT_APPLICABLE (,cognate-ID rate on known pairs,n/a (reproduction),PARTIAL_SUPPORT,wrapper VALIDATED: Luvian-Hittite 0.475==0.475 exa,converged benchmarks lan,none (baseline adoption)
PC-20-ugaritic-hebrew-heuristic,Ugaritic->Hebrew known-answer recovery (simplified Hungarian,paper_core,NOT_APPLICABLE (,known-answer recovery,chance floor 0.0004,PARTIAL_SUPPORT,cognate_accuracy 0.0055 (12/2182) vs chance 0.0004,above chance (finds sign,none
PC-21-csa-h100-build,CSA batched-parallel CUDA cognate-matcher build + validation,paper_core,NOT_APPLICABLE (,n/a,n/a,INCOMPLETE,matcher built + validated bit-identical to serial ,n/a,none
PC-22-csa-sufficiency-curve,CSA pseudo-decipherment learning-curve sufficiency sweep (de,paper_core,L0/L1 sufficienc,known-answer recovery vs analytic chance,analytic + permutation chance floor per ,INCOMPLETE,deposited LA-scale value is an _interp ENDPOINT CL,under-convergence keeps ,none; no phonetic claim
PC-23-referee-simulation,Hostile-referee simulation of the preprint (revision roadmap,paper_core,NOT_APPLICABLE (,n/a,n/a,NOT_APPLICABLE,verdict: major revisions; 8 issues (2 runnable blo,n/a,none
PC-24-review-code-fixes,Pre-submission code-integrity fixes (P0-P5 + second-pass) ve,paper_core,NOT_APPLICABLE (,n/a,n_fake 16->300; n_packard/random/within ,NOT_APPLICABLE,"365 passed, 4 xfailed; every deterministic probe r",n/a,none
PC-25-paper-audit-priorart,Paper audit: Tamburini 2025 as major prior art; novelty re-a,paper_core,NOT_APPLICABLE (,n/a,n/a,NOT_APPLICABLE,faithful-B-K&K rebuild MOOT (Tamburini published i,n/a,none
PC-26-redteam-synthesis,Expert red-team synthesis: withdrawn overclaims + corrected ,paper_core,NOT_APPLICABLE (,real sufficiency test = pseudo-decipherm,pipeline-level permutation null recommen,NOT_APPLICABLE,"7 claims WITHDRAWN (unicity identifiability, faith",n/a,none; SEMANTIC+ NOT_AUTH
PC-30-crossscript-gate-phase0,Cross-script LA<->LB value-recovery gate Phase 0 + 0.5 (powe,paper_core,L6 (design/power,planted-signal power simulation only (no,permuted-graph null; n_perm 200 (power s,NO_VERDICT_RECORDED,"Phase 0 MARGINAL (power 0.26 at s<=3, GO needs 0.8",GO conditional on topony,none
PC-31-crossscript-gate-phase1,Cross-script gate Phase 1 one-shot: preregistered/DOI-timest,paper_core,L6 (phonetic val,stratified random h=20 (coverage x attes,permutation null (non-degenerate); 5 LOT,REFUTED,REFUTE_LOTO_FRAGILE: full clears (p=0.0305) but LO,certified GO (bridging r,none; a CONFIRM would ha
PC-32-crossscript-gate-phase2,"Cross-script gate Phase 2 second one-shot: 8 vetted anchors,",paper_core,L6 (phonetic val,provenance-only anchor selection rule co,permutation null n_perm=2000; 8 LOTO + s,REFUTED,REFUTE: full p_raw 0.0255 misses corrected bar 0.0,certified LOTO-survival ,none
PC-33-crossscript-gate-phase3,Cross-script gate Phase 3 + corpus-completeness sweep (Aneta,paper_core,L1/L6 (corpus su,n/a,n/a,INCOMPLETE,GAP verdict PENDING-FULL-EDITION; VERDICT UNMOVED ,n/a,none
PC-34-segmentation-extension,Segmentation extension: PYP-Gibbs + tiny neural BiLSTM + tun,paper_core,L2 (word segment,LOSO; supervised BiLSTM = cross-site pre,random-boundary floor; site-clustered bo,SUPPORTED,gates PASSED (DP 0.4361/random 0.3888 EXACT; boots,adequate (all richer cla,STRUCTURAL (L2) only
PC-35-representation-audit,Representation audit: transcription-treatment sensitivity of,paper_core,L1 (representati,n/a,n/a,STRUCTURAL_ONLY,sensitivity LOW/LOCALIZED: under plausible ambigui,n/a,none
PC-36-schema-recon,Schema recon: does the corpus retain the administrative payl,paper_core,L3 (functional/a,n/a,n/a,STRUCTURAL_ONLY,PARTIAL-executable: integer core (commodity x inte,n/a,none
PC-37-schema-induction,Administrative-schema induction: total-reconciliation from s,paper_core,L3 (functional/a,TEST + NULL only (LB positive control de,totals-permuted permutation null N=2000,STRUCTURAL_ONLY,EXPLORATORY/DESCRIPTIVE (NOT gate-validated): 29.2,null proves the structur,"none (exploratory, not g"
PC-38-campaign-phaseA-audit,Linear A 12h campaign Phase A: exhaustive verdict-map audit ,paper_core,meta (L2-L6 aven,n/a,n/a,UNDERDETERMINED,every avenue converges on one corpus-identifiabili,ceiling liftable only fr,none (all LA transfer li
PC-39-campaign-egyptian-power,Campaign T2: Egyptian external-anchor frozen-regime power pa,paper_core,L6 (external pho,held-out FP~0.25 vs recovery~0.40 (unfro,FP envelope,NO_POWER,design-viable but scarcity-limited: FP drops 0.25-,NOT NO_POWER by design b,none
PC-40-campaign-completeness-critic,Campaign T3: adversarial completeness critic (methods / data,paper_core,meta,n/a,n/a,UNDERDETERMINED,all 3 diverse-lens critics converge: NO_GENUINE_AV,the one non-circular L3 ,none
PC-41-campaign-identifiability-synthesis,Campaign T4: identifiability synthesis (parameters > constra,paper_core,L6 (info-budget ,cross-avenue: only held-out positives ar,n/a,UNDERDETERMINED,UNDERDETERMINED: 259 sign-value parameters > 212 i,estimated_power 0.0 < fl,none; SEMANTIC+ NOT_AUTH
PC-42-campaign-kuro-control,Campaign T5: KU-RO arithmetic-reconciliation positive contro,paper_core,L3 (functional/a,cross-site held-out (HT vs non-HT),permutation null n_perm=2000,STRUCTURAL_ONLY,harness_fires_on_signal=True (25% vs 1.47% null = ,fires strongly in-corpus,none
A1_reconstruct,Reconstruction/recompute of Foundry position->C/V analogue (,relative_phonology,L2,7-fold CV on LB signs; known LB values g,,SUPPORTED,REPRODUCED_EXACTLY + filter-bug found (exp(log(20),NOT_RECORDED,NONE (all LA transfer NO
A2_multiplicity,Multiplicity audit of the position->C/V p-value,relative_phonology,L2,CV as in A1,,REFUTED,SINGLE-FEATURE POSITION DOWNGRADED — survives no c,NOT_RECORDED,NONE (all LA transfer NO
A3_replications,Independent replications of C/V partition (GMM/HMM latent cl,relative_phonology,L2,unsupervised recovery graded vs known LB,,REFUTED,EXPLORATORY_FREQUENCY_ARTIFACT; 2 unsupervised mod,NOT_RECORDED,NONE (all LA transfer NO
A4_grouped,Grouped generalization (freq-band-disjoint / LOSO / chronolo,relative_phonology,L2,freq-band-disjoint (train/test never sha,,REFUTED,REFUTE-AS-STATED; collapses under freq-band-disjoi,NOT_RECORDED,NONE (all LA transfer NO
A5_degradation,Degradation response surface (LB -> LA regime),relative_phonology,L2,per-cell CV,,REFUTED,REFUTE+NO_POWER; flat non-significant surface (und,NOT_RECORDED,NONE (all LA transfer NO
A6_nulls,End-to-end null battery for the position channel (WP-A verdi,relative_phonology,L2,grouped CV,,REFUTED,CV_ANALOGUE_REFUTED (WP-A verdict),NOT_RECORDED,NONE (all LA transfer NO
B1_representations,Build 8 channel-specific segmentation representations,relative_phonology,L1,NOT_APPLICABLE (construction),,SUPPORTED,"COMPLETE — 8 representations, provenance+reversibi",NOT_RECORDED,NONE (all LA transfer NO
B3_known_script,Known-script (LB) boundary recovery + downstream by segmenta,relative_phonology,L2,LB true boundaries hidden then graded,,SUPPORTED,"SUPPORTED_ON_LB (6 families beat baselines, Bayesi",NOT_RECORDED,NONE (all LA transfer NO
B4_synthetic,Synthetic syllabic-corpus segmentation calibration,relative_phonology,L1,known synthetic boundaries,,NO_POWER,QUANTIFIED: at LA hapax regime boundary skill over,NOT_RECORDED,NONE (all LA transfer NO
B5_la_ensemble,Linear A segmentation ensemble (validated models only),relative_phonology,L2,site/encoding/damage sensitivity,,STRUCTURAL_ONLY,probabilistic over-cut set; real signal is physica,NOT_RECORDED,NONE (all LA transfer NO
B6_downstream,Downstream causal segmentation test (held-out LB endorsement,relative_phonology,L2,held-out known-script LB recovery (not L,,PARTIAL_SUPPORT,held-out LB endorses GORILA_WORD; ensemble over-cu,NOT_RECORDED,NONE (all LA transfer NO
C1_candidates,Catalogue LA one/few-sign-diff substitution pairs,relative_phonology,L1,NOT_APPLICABLE,,SUPPORTED,CATALOGUED 3749 pairs + 253 edition-disagreements;,NOT_RECORDED,NONE (all LA transfer NO
C3_lb_calib,Linear B substitution-channel calibration,relative_phonology,L2,LB known values grade only,,SUPPORTED,CALIBRATED: consonant-held axis AUC 0.744; same-vo,NOT_RECORDED,NONE (all LA transfer NO
C_AUDIT,Substitution consonant-held axis WP-A-style audit on LB (BON,relative_phonology,L2,frequency-band-disjoint split (the exact,,SUPPORTED,SUBSTITUTION_CONSONANT_AXIS_VALIDATED (survives fu,NOT_RECORDED,NONE for LA; validates t
C4_la_graph,Linear A substitution graph (anonymous relative classes),relative_phonology,L2,value-free (anonymous) grading only,,NULL,CONSONANT_HELD_ANALOGUE = NOT_RECOVERED (underpowe,NOT_RECORDED,NONE (all LA transfer NO
C5_stability,LA substitution-graph stability + deflated information gain,relative_phonology,L2,dominant-site holdout (HT),,UNDERDETERMINED,FRAGILE; SEVERE Haghia-Triada dependency; deflated,NOT_RECORDED,NONE (all LA transfer NO
D1_multiview,Multi-view latent relative-feature model over audited channe,relative_phonology,L2,graded vs known-value benchmark (vowel/C,,NULL,MULTIVIEW_NO_VALUE_RECOVERY (fused vowel-AUC 0.538,NOT_RECORDED,NONE (all LA transfer NO
D2_ablations,View ablations of the multi-view model,relative_phonology,L2,benchmark grading,,NULL,LA null after frequency across all views; LB contr,NOT_RECORDED,NONE (all LA transfer NO
D3_seed_audit,Seed-propagation audit of Foundry '3-4 seeds -> 0.87',relative_phonology,L2,recovery measured on independent (non-se,,REFUTED,SEED_PROPAGATION_FREQUENCY_ARTIFACT (3rd Foundry c,NOT_RECORDED,NONE (all LA transfer NO
D4_frontier,Minimal-seed frontier for value recovery,relative_phonology,L2,independent-sign recovery,,NO_POWER,LA below minimal-seed threshold; value-blind selec,NOT_RECORDED,NONE (all LA transfer NO
D5_posterior,Linear A anonymous relative posterior classes (value-free),relative_phonology,L2,benchmark alignment (grading only),,NULL,anonymous K=2 partition (provenance+morphology); a,NOT_RECORDED,NONE (all LA transfer NO
E1_morphology,Three anonymous morphology models (MDL/Bayesian/FSM-paradigm,relative_phonology,L3,frequency-matched null; cross-family agr,,STRUCTURAL_ONLY,A- prefixation robust; corrects wave-2 to A- ONLY ,NOT_RECORDED,"NONE (L3 LA-internal, no"
E2_formula,Formula grammar induction (ledger + libation registers),relative_phonology,L3,complementary-distribution check; scored,,STRUCTURAL_ONLY,2 formula grammars (ledger KU-RO/KI-RO + libation ,NOT_RECORDED,"NONE (L3 internal role, "
E3_crosssite,Cross-site generalization of morphology (A-/-JA/I-),relative_phonology,L3,Haghia-Triada-disjoint partition,,NULL,published p 0.0099 (non-HT A-) DOWNGRADED by K1 to,NOT_RECORDED,NONE (all LA transfer NO
E4_paramreduce,Parameter reduction: compression vs held-out prediction,relative_phonology,L3,held-out word prediction,,NULL,compresses training but held-out gain not structur,NOT_RECORDED,NONE (all LA transfer NO
E5_wrongstruct,Wrong-structure controls for A- morphology,relative_phonology,L3,control comparison,,SUPPORTED,real A- morphology beats all wrong-structure contr,NOT_RECORDED,NONE (all LA transfer NO
F1_decompose,Cross-script evidence decomposition (per-channel calibratabi,relative_phonology,L2,known-script calibration (F2),,NULL,only admin_function non-circular+calibratable = NU,NOT_RECORDED,NONE (all LA transfer NO
F2_calib,Known-script calibration of shape->descent->value chain,relative_phonology,L2,known-script value continuity,,NO_POWER,cross-script value power NULL at LA scale,NOT_RECORDED,NONE (all LA transfer NO
F4_loso,Leave-one-sign-out LA-LB value-family prediction (+Cypro-Min,relative_phonology,L2,leave-one-sign-out,,NULL,LOSO NULL (R@5 0.071 vs shuffled 0.066; 4th distri,NOT_RECORDED,NONE (all LA transfer NO
G1_anchor_audit,Audit of existing 115 external anchors,relative_phonology,L2,held-out survivability check,,NULL,115 records -> 6 lineages / 1 value channel / 5 to,NOT_RECORDED,NONE (all LA transfer NO
G2_expand,Expand high-value multi-sign-constraining anchor classes,relative_phonology,L2,value-bearing requirement,,NULL,rich relative substrate but ZERO new value-bearing,NOT_RECORDED,NONE (all LA transfer NO
G3_seedq,Seed-quality classification + compound systems + anchor null,relative_phonology,L2,anchor held-out,,NULL,SEED_A=0; no independently-secure value seed; valu,NOT_RECORDED,NONE (all LA transfer NO
H1_round1,Bounded candidate round 1 (relative-class-constrained family,relative_phonology,L2,LA word set is held-out scoring target; ,,NULL,"AT_END_TO_END_NULL (0/3 families; SEM only KU-RO, ",NOT_RECORDED,NONE (all LA transfer NO
H2_round2,Bounded candidate round 2 (anchor-constrained family/isolate,relative_phonology,L2,held-out lexical reading,,NULL,AT_ANCHOR_CONSTRAINED_NULL (anchors add 0 held-out,NOT_RECORDED,NONE (all LA transfer NO
H3_round3,Bounded candidate round 3 (morphology-first joint decipherme,relative_phonology,L2,held-out read-count invariance under rel,,UNDERDETERMINED,AT_JOINT_INFERENCE_NULL — backbone relabeling-inva,NOT_RECORDED,NONE (all LA transfer NO
I1_agnostic,Agnostic constrained value search (beam/best-first + MDL gri,relative_phonology,L3,LB positive-control recovery vs LA; perm,,UNDERDETERMINED,UNDERDETERMINED_NO_RECOVERY (detector LIVE on LB; ,NOT_RECORDED,NONE (all LA transfer NO
J1_exposure,Anetaki public-exposure audit (sealable-delta definition),relative_phonology,L2,defines the prospective delta (excludes ,,SUPPORTED,only unpublished transliterated VALUES sealable; 8,NOT_RECORDED,NONE (all LA transfer NO
J2_seals_programme,Sealed-prediction programme (freeze 5 hashed seals),relative_phonology,L3,held-out partitions / unseen site / unse,,STRUCTURAL_ONLY,5 hashed seals frozen; phonetic scoring NO_CANDIDA,NOT_RECORDED,NONE (all LA transfer NO
SEAL_2,SEAL_2 held-out 15% inscriptions (A-prefix + ledger well-for,relative_phonology,L3,random 15% (seed+2) held out; prediction,,SUPPORTED,SUPPORTED (held-out A-rate 0.0525 inside band; led,NOT_RECORDED,NONE (all LA transfer NO
SEAL_3,SEAL_3 unseen site Khania (carrier-value grammar transfer + ,relative_phonology,L3,unseen site (Khania) never in training,,SUPPORTED,SUPPORTED (carrier-value wf 0.8525; KU-RO absence ,NOT_RECORDED,NONE (all LA transfer NO
SEAL_4,"SEAL_4 unseen libation family (rigid anchor order, leave-one",relative_phonology,L3,leave-one-carrier-out over unseen libati,,SUPPORTED,"SUPPORTED (0/45 inversions, LOO)",NOT_RECORDED,NONE (all LA transfer NO
SEAL_5,SEAL_5 masked-notation ledger arithmetic (committed negative,relative_phonology,L3,masked notation held out,,NULL,honest committed NEGATIVE — UNDERPOWERED_NO_SIGNAL,NOT_RECORDED,NONE (all LA transfer NO
ANETAKI_DELTA_SEAL,ANETAKI_FINAL_EDITION_DELTA_SEAL (prospective structural-onl,relative_phonology,L3,prospective; scored when editio princeps,,INCOMPLETE,SEALED_PROSPECTIVE (PASS=null; scoreable on editio,NOT_RECORDED,NONE (all LA transfer NO
K1_nulls,Full adaptive best-of-selection null programme,relative_phonology,L3,held-out structural read-count (1005) ov,,SUPPORTED,NULLS_CONFIRM_NULLS; value-layer FP=chance (0 bits,NOT_RECORDED,NONE (all LA transfer NO
L1_sourcewatch,Source watch + expected-information-gain ranking + ingestion,relative_phonology,L0,prospective,,INCOMPLETE,9 acquisitions ranked; Anetaki II = falsification ,NOT_RECORDED,NONE (all LA transfer NO
M1_synthesis,Final synthesis + 7-licence gate evaluation,relative_phonology,L3,held-out-validated positives only count,,NULL_PUBLISHED,NEW_CONSTRAINTS_BUT_NO_DECIPHERMENT; all 7 licence,NOT_RECORDED,NONE (all LA transfer NO
