designation,site,description,publication,year,pages,translit_printed(yes/no/partial),accessibility(open/paywalled/pending_edition),notes,channel,sources
MA Zb (no. unknown),Malia,"globular jug MA Mus. Strat. P89P33, *405VAS+K","Perna, 'Ideograms of Vases and Fractions in Linear A Script', METRON (Aegaeum 24, 2003) 346, pl. LXVIIIg",2003,346,yes,paywalled,No corpus number assigned; sibling MA Zb 15 in inventory. Some older Aegaeum volumes are OA via ULiege - check.,younger-pointer,younger-pointer
MO Zb 2,Mochlos,"pottery fragment incised with Linear A, Block C LM I houses","unpublished; mentioned by Brogan, Kentro 10 (Winter 2007-2008) 3",2008,3,no,pending_edition,"One of two fragments, one bearing the OLE sign; the Kentro newsletter itself is OA (INSTAP), but it is a mention, not an edition.",younger-pointer,younger-pointer
MO Zb 3,Mochlos,"pottery fragment incised with Linear A, Block C LM I houses","unpublished; mentioned by Brogan, Kentro 10 (Winter 2007-2008) 3",2008,3,no,pending_edition,See MO Zb 2.,younger-pointer,younger-pointer
MO Zb 4,Mochlos,support unspecified,unpublished; mentioned in Del Freo & Zurbach 2011 p. 90,2011,90,no,pending_edition,Younger: 'also unpublished'.,younger-pointer,younger-pointer
MY Zf 2,Mycenae,"flange attaching handle to bronze cauldron, Shaft Grave IV (NMA 576)","Palaima, 'The Inscribed Bronze Kessel from Shaft Grave IV...', in Duhoux (ed.), Briciaka: A Tribute to W.C. Brice (Cretan Studies 9, 2003) 187-201",2003,187-201,yes,paywalled,"AMBIGUOUS GORILA status: Younger cites only Palaima 2003 (sibling MY Zf 1 is in inventory); verify against GORILA IV before treating as a gap. | [sigla] pub: SigLA database entry (2026); ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.; translit_printed=partial per that source; accessibility=open per that source",younger-pointer,younger-pointer;sigla
PETS Wc (no no.),Petsophas,"roundel, found Fall 1993",unpublished,1993,,no,pending_edition,Younger: '(unpublished)'; no text printed.,younger-pointer,younger-pointer
PH Wb 55,Phaistos,"sealing HM 676, Vano LI, MM II context, vestigia only",no edition cited by Younger; seal impression = CMS II 5 no. 167,,,no,open,AMBIGUOUS: Younger cites no edition (adjacent PH W-series entries cite GORILA II) - unclear whether absent from GORILA or an oversight. 'vest.' only. CMS open on Arachne.,younger-pointer,younger-pointer
PH Wc 52,Phaistos,"roundel HM 689 (CMS II 5, 300), Vano 25, MM II; VIN 6","Hallager, Proceedings of the Danish Institute at Athens 1 (1995) 11",1995,11,yes,open,PDIA 1 OA (best assessment). Inventory PH Wc series stops at 46.,younger-pointer,younger-pointer
"PK Zb (unnumbered, AIA 2004)",Palaikastro,"pithos sherd, written retrograde, A-PA3-DI[","unpublished; presented at the AIA annual meeting, 3 January 2004 (per Younger)",2004,,no,pending_edition,Younger prints a provisional reading only.,younger-pointer,younger-pointer
"PK Zb (unnumbered, Hood 1964)",Palaikastro (?),"conical cup fragment, signs RE B","Hood 1964 (Younger's bibliography lists only: 'Inscribed Cup from a Late Minoan I B Deposit at Knossos', Kadmos 3 (1964) 111-113)",1964,111-113,partial,paywalled,AMBIGUOUS: entry sits under Palaikastro but the only Hood 1964 in Younger's bibliography is a Knossos cup - site attribution unresolved; absent from GORILA per Younger's citation practice.,younger-pointer,younger-pointer
PSE Zb 1,Pseira,"pithos shoulder fragment PS 4370, LM IB, *188-DU-SE[","Floyd, 'Fragments from Two Pithoi with Linear A Inscriptions from Pseira', Kadmos 34 (1995) 39-48",1995,39-48,yes,paywalled,Not to be confused with inventory PSIZa1/PSZa2 (Psykhro). Kadmos = De Gruyter.,younger-pointer,younger-pointer
PSE Zb 2,Pseira,"pithos rim fragment PS 4163, LM IB","Floyd, Kadmos 34 (1995) 39-48",1995,39-48,partial,paywalled,Younger prints only a dot + [ - minimal sign content.,younger-pointer,younger-pointer
SA Wc 1,Samothrace (Mikro Vouni),"roundel: Linear A KA flanking a ladder design, plus Hieroglyphic A-SA",CMS V Suppl. 1B no. 326,1993,no. 326,partial,open,Mixed Hieroglyphic/Linear A document. Series sibling SA Wa 1 is in inventory as SAMWa1 - normalize SA <-> SAM. CMS open on Arachne.,younger-pointer,younger-pointer
SA Wc 2,Samothrace (Mikro Vouni),roundel impressed by lentoid + Hieroglyphic cushion seals; face: S-spiral + Hieroglyphic A-SA,CMS V Suppl. 1B no. 325 (seals nos. 322-324),1993,no. 325,no,open,"Linear A content doubtful (impressions Hieroglyphic; face motif a spiral) - listed by Younger, flagged here for completeness only.",younger-pointer,younger-pointer
THE tab. 6,Thera (Akrotiri D18),"page tablet fragment, Museum of Prehistoric Thera 8366, LM IA; ]10[ / ]TELA+SE ]200[","Boulotis, 'Les nouveaux documents en lineaire A d'Akrotiri (Thera): remarques preliminaires', BCH 122 (1998) 407-411",1998,407-411,partial,open,Division into 'tablet 5/tablet 6' is Younger's own (all under museum inv. 8366); inventory has THEtab.4/THEtab.5 from the same find but not 6. BCH 122 is on Persee (OA).,younger-pointer,younger-pointer
THE Zb 11,Thera (Akrotiri),"pithos from the House of the Ladies, 4 signs (reading incl. VIN+TE 120)","unpublished: Bennett & Owens (n.d.); Karnava, 'Horizons' conference paper forthcoming (per Younger, 2023 state)",,,no,pending_edition,Younger prints a provisional reading; primary edition pending - check whether Karnava's paper has appeared since Aug 2023.,younger-pointer,younger-pointer
ZA Wa 38,Zakros,"nodule HM 32/1, single sign *301 + seal impression CMS II 7 no. 23","Hallager 1995, Proceedings of the Danish Institute at Athens 1, 12, fig. 9",1995,12,partial,open,Siblings ZA Wa 36 / ZA Wb 37 (Weingarten 1983) are in inventory.,younger-pointer,younger-pointer
ZA Zb (unnumbered),Zakros,support unspecified,unpublished; listed in Del Freo & Zurbach 2011 p. 93,2011,93,no,pending_edition,Younger: '(unpublished)'.,younger-pointer,younger-pointer
ARKH 7,Arkhanes,tablet,SigLA database entry,2026,,yes,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap.",sigla,sigla
GO 2a,GOURNIA,tablet,SigLA database entry,2026,,partial,open,"added to SigLA 2026-06-26; SigLA lists site as 'GOURNIA' (duplicate of 'Gournia' group, site-label quirk); SIDE-LEVEL GAP, not a new document: inventory has GO2r/GO2v (recto/verso naming) — probably the same document, side-naming mismatch only. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
GO 2b,GOURNIA,tablet,SigLA database entry,2026,,partial,open,"added to SigLA 2026-06-26; SigLA lists site as 'GOURNIA' (duplicate of 'Gournia' group, site-label quirk); SIDE-LEVEL GAP, not a new document: inventory has GO2r/GO2v (recto/verso naming) — probably the same document, side-naming mismatch only. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
HT 41b,Haghia Triada,tablet,SigLA database entry,2026,,partial,open,"SIDE-LEVEL GAP, not a new document: side/face of inventoried document HT41a. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
HT 46b,Haghia Triada,tablet,SigLA database entry,2026,,partial,open,"SIDE-LEVEL GAP, not a new document: side/face of inventoried document HT46a. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
HT 57b,Haghia Triada,tablet,SigLA database entry,2026,,partial,open,"SIDE-LEVEL GAP, not a new document: side/face of inventoried document HT57a. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
HT 123a,Haghia Triada,tablet,SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
HT 123b,Haghia Triada,tablet,SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
HT 136b,Haghia Triada,tablet,SigLA database entry,2026,,partial,open,"SIDE-LEVEL GAP, not a new document: side/face of inventoried document HT136a. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
HT 142,Haghia Triada,tablet,SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
HT 154G,Haghia Triada,tablet,SigLA database entry,2026,,partial,open,"SIDE-LEVEL GAP, not a new document: fragment of the HT 154 group; inventory has only HT154./HT154a/HT154b/HT154c. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
HT 154Jb,Haghia Triada,tablet,SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
HT 154K,Haghia Triada,tablet,SigLA database entry,2026,,partial,open,"SIDE-LEVEL GAP, not a new document: fragment of the HT 154 group; inventory has only HT154./HT154a/HT154b/HT154c. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
HT 154L,Haghia Triada,tablet,SigLA database entry,2026,,partial,open,"SIDE-LEVEL GAP, not a new document: fragment of the HT 154 group; inventory has only HT154./HT154a/HT154b/HT154c. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
HT 154M,Haghia Triada,tablet,SigLA database entry,2026,,partial,open,"SIDE-LEVEL GAP, not a new document: fragment of the HT 154 group; inventory has only HT154./HT154a/HT154b/HT154c. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
HT Wa 1019α,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"SIDE-LEVEL GAP, not a new document: face α of inventoried nodule HTWa1019. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
HT Wa 1019γ,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"SIDE-LEVEL GAP, not a new document: face γ of inventoried nodule HTWa1019. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
HT Wa 1020α,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"SIDE-LEVEL GAP, not a new document: face α of inventoried nodule HTWa1020. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
HT Wa 1020β,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"SIDE-LEVEL GAP, not a new document: face β of inventoried nodule HTWa1020. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
HT Wa 1020γ,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"SIDE-LEVEL GAP, not a new document: face γ of inventoried nodule HTWa1020. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
HT Wa 1021α,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"SIDE-LEVEL GAP, not a new document: face α of inventoried nodule HTWa1021. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
HT Wa 1021β,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"SIDE-LEVEL GAP, not a new document: face β of inventoried nodule HTWa1021. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
HT Wa 1021γ,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"SIDE-LEVEL GAP, not a new document: face γ of inventoried nodule HTWa1021. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
HT Wa 1024,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
HT Wa 1025α,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
HT Wa 1025γ,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
HT Wa 1028α,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"SIDE-LEVEL GAP, not a new document: face α of inventoried nodule HTWa1028. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
HT Wa 1028γ,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"SIDE-LEVEL GAP, not a new document: face γ of inventoried nodule HTWa1028. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
HT Wa 1029α,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
HT Wa 1029γ,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
HT Wa 1623,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
HT Wa 1624,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
HT Wa 1625,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
HT Wa 1631,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
HT Wa 1639,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
HT Wa 1654,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
HT Wa 1658,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
HT Wa 1659,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
HT Wa 1669,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
HT Wa 1710,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
HT Wa 1720,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
HT Wa 1723,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
HT Wa 1725,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
HT Wa 1734,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
HT Wa 1747,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
HT Wa 1751,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
HT Wa 1753,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
HT Wa 1754,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
HT Wa 1758,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
HT Wa 1764,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
HT Wa 1766,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
